"kappa_max_aux","kappa_aux","mu_aux","res_aux","c_aux","gx","jump_pressure","jump_rho","kappa_pcs_wse","mu_pcs_wse","visc_max_pcs_wse","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
5.0478472214281815411,3.2337104130481881598e-07,3.2337104130481881598e-07,83.128234207251821886,504.78255054681557112,0,0,0,2.7829868398322868274e-07,2.7829868398322868274e-07,10.095694442875771557,0,1,1,3
5.0478456342261930345,1.0153854584339875247e-06,1.0153854584339875247e-06,261.023929232993396,504.78286739432894592,0,0,0,9.4370891980001025146e-07,9.4370891980001025146e-07,10.095691268452384293,0,2,2,3
5.0480649371033230466,2.416358946174809185e-06,2.416358946174809185e-06,621.19921885035000741,504.78635204067393261,0,0,0,5.0888320361265128886e-06,5.0888320361265128886e-06,10.096129864856266067,0,3,3,3
5.0485669495205849344,2.3270868020371363674e-06,2.3270868020371363674e-06,598.29415845288906439,504.79340043081754175,0,0,0,3.8672263947930527166e-05,3.8672263947930527166e-05,10.097133883445801317,0,4,4,3
5.0482689035693883994,1.6162855218239757598e-05,1.6162855218239757598e-05,4154.8564232252538204,504.78571906948928927,0,0,0,0.00011526933434470835614,0.00011526933434470835614,10.096537807149628563,0,5,5,3
5.0515600711406127843,6.9198150212292729015e-05,6.9198150212292729015e-05,17768.563200764358044,504.71000842826771304,0,0,0,0.0024048148091561517142,0.0024048148091561517142,10.103124187545340362,0,6,6,3
5.062555219743808621,0.00012191587857737491533,0.00012191587857737491533,31221.914618700742722,504.49417823506041714,0,0,0,0.01195675952081451214,0.01195675952081451214,10.125133031519418125,0,7,7,3
5.0824177571399644648,0.00014737254730475706811,0.00014737254730475706811,37576.620369851589203,504.10309737243693462,0,0,0,0.023441880566614475834,0.023441880566614475834,10.164891380538879417,0,8,8,3
5.1095540889887329783,0.00010489952261693053924,0.00010489952261693053924,26554.765537828207016,503.56573235735618255,0,0,0,0.025707846553143672702,0.025707846553143672702,10.219193823501509399,0,9,9,3
5.1412554288142313652,0.00027502489557502843125,0.00027502489557502843125,69151.901846438646317,502.93317304400511603,0,0,0,0.024703849694378939711,0.024703849694378939711,10.282617395616622247,0,10,10,3
5.1760221970868265373,0.00018667206996663299624,0.00018667206996663299624,46624.964151710271835,502.23300878404336345,0,0,0,0.028084987989897090138,0.028084987989897090138,10.352169743874956254,0,11,11,3
5.2134543215278377204,0.00016176215157193360732,0.00016176215157193360732,39913.883344978094101,501.47183795109305038,0,0,0,0.03304211302561877589,0.03304211302561877589,10.427053230627883806,0,12,12,3
5.253369054780766767,0.0003331005438610668782,0.0003331005438610668782,81411.238550841808319,500.65175270947014496,0,0,0,0.03678396790487358653,0.03678396790487358653,10.506901901673067812,0,13,13,3
5.2955731229353224521,0.00023467834621193736557,0.00023467834621193736557,56816.01685756444931,499.77480036470558389,0,0,0,0.03988367634316342808,0.03988367634316342808,10.591329082151249352,0,14,14,3
5.3399326074270678788,0.0001922397313067664734,0.0001922397313067664734,46137.524547696113586,498.84160025518644943,0,0,0,0.043569156569114385336,0.043569156569114385336,10.680067595419048487,0,15,15,3
5.386371421280354177,0.00038287190184346488403,0.00038287190184346488403,90977.726205945014954,497.851559523504136,0,0,0,0.047835141429936021973,0.047835141429936021973,10.77296548937328069,0,16,16,3
5.4348590840097985577,0.00046798757450978344585,0.00046798757450978344585,109635.34073448181152,496.8038619879071689,0,0,0,0.053048206871054069678,0.053048206871054069678,10.869961939237878568,0,17,17,3
5.4853805089967320185,0.00041868521685016707543,0.00041868521685016707543,96697.649880528464564,495.69705762686078288,0,0,0,0.058010384205338764996,0.058010384205338764996,10.971027248387001052,0,18,18,3
5.5379643053740696956,0.00046362325330275640407,0.00046362325330275640407,105821.38693118095398,494.52920544041978701,0,0,0,0.067703779213437037532,0.067703779213437037532,11.076218803484568554,0,19,19,3
5.5927014466300359885,0.00056984757481820037025,0.00056984757481820037025,128551.8735488653183,493.29526783267294832,0,0,0,0.081036999637269652164,0.081036999637269652164,11.185720573194664951,0,20,20,3
5.6498464580935401358,0.00076680624660557166004,0.00076680624660557166004,170768.11161696913769,491.98914579108975431,0,0,0,0.089705776909628054394,0.089705776909628054394,11.300042881863886279,0,21,21,3
5.709342274530929906,0.00097646217062991838738,0.00097646217062991838738,213904.1809076666832,490.61259744758211809,0,0,0,0.14996607895637403818,0.14996607895637403818,11.41906361250833335,0,22,22,3
5.7686806190629189572,0.00098071127784239643839,0.00098071127784239643839,211496.64807671311428,489.22318799993570337,0,0,0,0.19792305888702488303,0.19792305888702488303,11.53771218010070676,0,23,23,3
5.8259760820041766038,0.00083840787066517515405,0.00083840787066517515405,178746.10363328456879,487.86829468853011349,0,0,0,0.22064649230630850596,0.22064649230630850596,11.652286424426099742,0,24,24,3
5.8810667789955957119,0.0010811848609633199596,0.0010811848609633199596,227491.08153003454208,486.55824087245940746,0,0,0,0.31191388835793959489,0.31191388835793959489,11.762436161575195115,0,25,25,3
5.9328061574405195344,0.00092528915495905007804,0.00092528915495905007804,213569.34684172272682,485.32067060793207247,0,0,0,0.32022331965205919069,0.32022331965205919069,11.865874546481931517,0,26,26,3
5.9808599850074140036,0.00064882538744417842056,0.00064882538744417842056,166214.36843809485435,484.16701635431070372,0,0,0,0.36987357187505814915,0.36987357187505814915,11.961946902673281201,0,27,27,3
6.0241590080625675441,0.00047466390709614646572,0.00047466390709614646572,131244.97427380084991,483.1290600314368362,0,0,0,0.37634675422280500223,0.37634675422280500223,12.048490144961332859,0,28,28,3
