"alpha_liquid","alpha_vapor","density_liquid","density_vapor","pressure_liquid","pressure_vapor","velocity_liquid","velocity_vapor","Points:0","Points:1","Points:2"
0.99949940867455711047,0.00050059132544288953426,999.89781441942579931,49.935793825279120028,199640372.56118345261,199640541.40693417192,0,0,0,0,0
0.99949942479332898326,0.00050057520667101673695,999.89654769043931992,49.934996980005820433,199635917.43947935104,199636081.92889210582,0.023550207330512124698,0.023595665562258505421,0.0010000000474974513054,0,0
0.99949943283494535606,0.00050056716505464393663,999.89458289843435068,49.933761468369922909,199629005.40135812759,199629167.37593016028,0.04625141565104389646,0.046324970852200678118,0.0020000000949949026108,0,0
0.9994994151770920654,0.00050058482290793460123,999.89133091575615708,49.931717831786883721,199617564.01880025864,199617730.05870211124,0.069412738183321887053,0.06952291456523583546,0.0030000000260770320892,0,0
0.99949939026199852155,0.00050060973800147845481,999.88676669530093477,49.928849470411122979,199601505.5859079361,199601677.36318957806,0.093265078449323260412,0.093412729991820334097,0.0040000001899898052216,0,0
0.99949935798813838161,0.00050064201186161838564,999.88085658010265888,49.925135221407330732,199580712.06407117844,199580891.23768693209,0.11804062344372985571,0.11822683609204090449,0.0049999998882412910461,0,0
0.99949931810988790204,0.00050068189011209796035,999.87355738909047886,49.920547929935288778,199555031.93107128143,199555220.19319534302,0.14397549360565231602,0.14420162347060341834,0.0060000000521540641785,0,0
0.99949927032946050964,0.00050072967053949035687,999.86481639602266114,49.915054427157862449,199524280.14719724655,199524479.21941360831,0.17131068321219342088,0.1715783571540850927,0.0070000002160668373108,0,0
0.99949921429169297227,0.00050078570830702773264,999.85457131795351415,49.908615534103532241,199488238.14470529556,199488449.81946992874,0.20029295817347833597,0.20060407415887826499,0.0080000003799796104431,0,0
0.99949914958673369281,0.00050085041326630719283,999.84275031008860424,49.901186039092820579,199446653.83658409119,199446879.93245106936,0.2311757123805921188,0.23153243974477291656,0.00899999961256980896,0,0
0.99949907575047458597,0.00050092424952541403371,999.82927196775938228,49.892714721864344085,199399241.6474032402,199399484.06536769867,0.26421977560003329089,0.26462455514346389096,0.0099999997764825820923,0,0
0.99949899226141503128,0.00050100773858496872037,999.81404533843692661,49.883144339027474246,199345682.58463716507,199345943.27661472559,0.2996941655679485339,0.30014970938871243789,0.010999999940395355225,0,0
0.99949889854444207149,0.00050110145555792851013,999.79696994721700776,49.872411649629306396,199285624.35599517822,199285905.34289309382,0.3378767778829041557,0.33838606888674088724,0.012000000104308128357,0,0
0.99949879396538965359,0.00050120603461034640702,999.77793583728396243,49.86044742816787334,199218681.54800081253,199218984.90553456545,0.37905500620678234114,0.37962129717369058612,0.013000000268220901489,0,0
0.99949867783463042237,0.00050132216536957763253,999.75682363112491657,49.847176518207447771,199144435.87791252136,199144763.78407177329,0.42352628611754356003,0.42415309824779851011,0.014000000432133674622,0,0
0.99949854940654492275,0.00050145059345507725368,999.73350461424104196,49.83251785688852209,199062436.53272867203,199062791.21924826503,0.47159855597190714072,0.47228967681699701719,0.014999999664723873138,0,0
0.99949840787865174008,0.0005015921213482599228,999.70784084617787357,49.816384564514144984,198972200.60735082626,198972584.41005039215,0.52359062789423960194,0.5243501085639905579,0.016000000759959220886,0,0
0.99949825238897826996,0.00050174761102173004446,999.67968530219877721,49.798684015452856499,198873213.65874385834,198873629.00317117572,0.57983246295494872413,0.58066461450600825867,0.017000000923871994019,0,0
0.99949808202297363291,0.00050191797702636709033,999.64888204937460614,49.779317939070040211,198764930.38413095474,198765379.75909250975,0.64066534435768873745,0.64157473329418757135,0.01799999922513961792,0,0
0.99949789580705472591,0.00050210419294527408596,999.61526646021093256,49.758182564233372602,198646775.44166231155,198647261.43149328232,0.70644194338581944859,0.7074333861505097687,0.018999999389052391052,0,0
0.99949769271147426153,0.00050230728852573847121,999.57866546792399731,49.735168760535636068,198518144.42024421692,198518669.69089600444,0.77752627299501120284,0.77860482939628838928,0.019999999552965164185,0,0
0.99949747165286595418,0.00050252834713404581635,999.53889786556294439,49.710162230614251655,198378404.97406244278,198378972.29418203235,0.85429352486541165757,0.85546449036554828016,0.020999999716877937317,0,0
0.99949723149118130383,0.00050276850881869616927,999.49577465201650739,49.683043703937904922,198226898.12631845474,198227510.33194878697,0.93712978647564959545,0.93839868326345843297,0.021999999880790710449,0,0
0.99949697103296053502,0.00050302896703946498036,999.44909942702292938,49.653689194106057414,198062939.75662136078,198063599.77500292659,1.0264316356264775454,1.027804202451835236,0.023000000044703483582,0,0
0.99949668903171373646,0.00050331096828626353812,999.39866883730599056,49.621970260519830731,197885822.26962709427,197886533.11139735579,1.1226056103369257411,1.1240877910518938254,0.024000000208616256714,0,0
0.99949638418852559951,0.00050361581147440048767,999.3442730743647644,49.587754307634710926,197694816.45901441574,197695581.1863194108,1.2260675538149485853,1.2276654846042116542,0.025000000372529029846,0,0
0.99949605515623152208,0.00050394484376847792362,999.2856964249452858,49.550904933778383565,197489173.55933952332,197489995.32397609949,1.3372418352800952146,1.3389618306048793883,0.026000000536441802979,0,0
0.9994957005369166092,0.00050429946308339079764,999.22271787447778024,49.511282286346236958,197268127.49261331558,197269009.5079691112,1.45656044754595837,1.4584089847659562622,0.027000000700354576111,0,0
0.99949531888572284988,0.0005046811142771501224,999.15511176184884334,49.468743465585589547,197030897.30174732208,197031842.83394965529,1.5844619852438270868,1.5864456879888504393,0.028000000864267349243,0,0
0.99949490871396906577,0.00050509128603093422782,999.08264848463181806,49.423142962604906359,196776689.76705121994,196777702.15346077085,1.7213905073696180725,1.7235161277077593045,0.028999999165534973145,0,0
