"alpha_liquid","alpha_vapor","density_liquid","density_vapor","pressure_liquid","pressure_vapor","velocity_liquid","velocity_vapor","visc_max_liq_aux","visc_max_vap_aux","beta_max_aux","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.999498946194833,0.000501053805166851,999.8181410659,49.8857060005897,199360077.216696,199360253.101865,0,0,4.68905496811091,5.91340636281599,0.000153201565033037,1,0,0,0,0
0.999498980547522,0.000501019452477727,999.802218723975,49.8756960911265,199304102.299724,199304271.781999,0.121340703737753,0.121460142898146,4.68905496811091,5.91340636281599,0.000153201565033037,1,0.00495049497112632,0.00495049497112632,0,0
0.99949891733032,0.000501082669680431,999.775861648858,49.8591257902801,199211432.71488,199211608.414034,0.239375024798392,0.239575748548504,4.68918660238382,5.9133900869416,0.00045538533737658,1,0.00990098994225264,0.00990098994225264,0,0
0.999498698540193,0.00050130145980672,999.731774770288,49.8314096462152,199056440.892791,199056644.36966,0.373128241775439,0.373436065952043,4.68921951934667,5.91317522106604,0.000773644858239985,1,0.0148514853790402,0.0148514853790402,0,0
0.999498377742976,0.000501622257023987,999.66784137554,49.7912130533465,198831729.414088,198831972.749999,0.53078421542906,0.531213522149895,4.68915024427629,5.91272468659248,0.00114289270069799,1,0.0198019798845053,0.0198019798845053,0,0
0.999497940784661,0.000502059215339262,999.58123789395,49.7367567973906,198527441.055466,198527737.00227,0.720948342581198,0.721517596043616,4.68898021373124,5.91202189720663,0.0015846276185155,1,0.0247524753212929,0.0247524753212929,0,0
0.999497367534398,0.000502632465601879,999.468383413045,49.6657829071398,198131095.334616,198131457.77854,0.952903988324776,0.953636014921056,4.68870615576774,5.91103975631361,0.00212193703759136,1,0.0297029707580805,0.0297029707580805,0,0
0.999496633294964,0.000503366705035869,999.324971308297,49.5755732663042,197627717.668295,197628161.712198,1.23669352197246,1.23761534331677,4.68832057748397,5.90974109239714,0.00277978592138245,1,0.0346534661948681,0.0346534661948681,0,0
0.999495708761183,0.000504291238817071,999.1460179148,49.4629784989409,197000033.575926,197000575.589855,1.5831459235656,1.58428850166842,4.68781226454144,5.90807921751945,0.0035851555569199,1,0.0396039597690105,0.0396039597690105,0,0
0.999494560003138,0.000505439996862354,998.925932702714,49.3244597423995,196228744.341462,196229401.926293,2.00384321483939,2.00524109403492,4.68716679537532,5.905998556762,0.00456702978931112,1,0.0445544570684433,0.0445544570684433,0,0
0.999493148495758,0.000506851504241646,998.65861279769,49.1561450573966,195292894.304776,195293686.187031,2.51102217167635,2.51271300772411,4.68636708602918,5.90343537586536,0.00575621416714955,1,0.0495049506425858,0.0495049506425858,0,0
0.999491431181671,0.000508568818329397,998.337563195905,48.9539011876776,194170334.073303,194171279.903039,3.11741098953905,3.1194349653426,4.68539397829572,5.90031862416136,0.0071849816906373,1,0.0544554442167282,0.0544554442167282,0,0
0.999489360575231,0.00051063942476916,997.956042602201,48.7134205880766,192838278.143284,192839398.206505,3.83600354656081,3.8384026837487,4.68422687800412,5.89657089648444,0.0088865488914899,1,0.059405941516161,0.059405941516161,0,0
0.999486884894276,0.000513115105724581,997.507233150844,48.4303226250043,191273948.617923,191275263.548978,4.67977716310771,4.68259454816452,4.68284444268402,5.89210950087321,0.0108943971217519,1,0.0643564388155937,0.0643564388155937,0,0
0.999483948189867,0.000516051810133153,996.984427812022,48.1002650543424,189455280.141345,189456810.526601,5.66136808785557,5.66464704206681,4.68122530951637,5.88684760399482,0.0132414651902642,1,0.0693069323897362,0.0693069323897362,0,0
0.999480490443232,0.000519509556768119,996.381227622581,47.7190609784856,187361654.538765,187363420.561245,6.79272188360747,6.79650511347396,4.67934884656253,5.8806954147267,0.0159592496447309,1,0.0742574259638786,0.0742574259638786,0,0
0.999476447620797,0.000523552379202894,995.691744979361,47.282799064054,184974647.284375,184976668.304318,8.0847279871447,8.08905675129238,4.67719590386036,5.87356135845587,0.0190768568118878,1,0.0792079195380211,0.0792079195380211,0,0
0.999471751658454,0.000528248341545545,994.910803807009,46.7879615448513,182278748.640872,182281042.853207,9.54685764721487,9.55177097657362,4.67474953695988,5.86535319303064,0.0226200551261828,1,0.0841584131121635,0.0841584131121635,0,0
0.999466330277412,0.000533669722588076,994.034117289104,46.2315280770445,179261987.725805,179264571.820305,11.1868430333364,11.1923770451684,4.67199567438541,5.85597902247953,0.0266103766367276,1,0.0891089141368866,0.0891089141368866,0,0
0.999460106726573,0.000539893273427157,993.058455618666,45.611073780651,175916498.443025,175919387.343613,13.0103754359132,13.0165627591047,4.66892370247363,5.84534817290885,0.031064312751317,1,0.0940594077110291,0.0940594077110291,0,0
0.999452999295668,0.00054700070433163,991.981776214039,44.9248443837646,172238929.072505,172242135.737364,15.0208750642986,15.0277444000325,4.66552694573005,5.8333719105074,0.0359926416922524,1,0.0990099012851715,0.0990099012851715,0,0
0.999444920643855,0.000555079356144556,990.803322451047,44.1718127678385,168230715.419682,168234250.714142,17.2193215889451,17.2268974114217,4.66180302757208,5.81996399625716,0.0413999147431654,1,0.103960394859314,0.103960394859314,0,0
0.99943577698166,0.000564223018339958,989.52369697447,43.3517212205768,163898238.448284,163902111.114328,19.604134331699,19.612436718149,4.65775410415197,5.80504108886282,0.0472841164446927,1,0.108910888433456,0.108910888433456,0,0
0.999425466937742,0.000574533062257499,988.144885245191,42.4650942610229,159252785.864125,159257002.493699,22.1711474127919,22.1801919971784,4.65338697187292,5.78852302479922,0.0536365018684902,1,0.113861389458179,0.113861389458179,0,0
