"Tw","area","dummy_bounds","enthalpy","heat_flux_perimeter","heat_transfer_coefficient","hydraulic_diameter","jump_pressure_pcs_wse","jump_rho_pcs_wse","pressure","rho","rhoA","rhoE","rhoEA","rhoe","rhou","rhouA","specific_internal_energy","specific_volume","temperature","u","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
550,0.0045603673099999996951,0,298394.17171821609372,0.048962349359916598757,0,0.016985659999999999648,118.54113417863845825,0.00099315047009440604597,1999938.5558037189767,23.458182527516509452,0.10697792875049945416,4999846.3895092979074,22801.136029739729565,4999846.3895092979074,0,0,213138.69408444006694,0.042629048470698760465,296.99739297903562374,0,1,1,0,0,0
550,0.0045603673099999996951,0,298393.94710125896381,0.048962349359916598757,0,0.016985659999999999648,153.04338190704584122,0.0012822228520690259757,1999933.286436710041,23.458138379107108307,0.10697772741753643067,4999833.2161525879055,22801.075954394425935,4999833.2160917762667,0.053414079060522791365,0.0002435878200413636415,213138.53364190473803,0.0426291286989186613,296.99716941092697198,0.0022769956506052423974,2,2,0.025000000372529029846,0,0
550,0.0045603673099999996951,0,298393.65821232536109,0.048962349359916598757,0,0.016985659999999999648,236.90433680266141891,0.0019848437752330028161,1999926.509323913604,23.458081598640571741,0.10697746847775299606,4999816.2735376805067,22800.998689847256173,4999816.2733097840101,0.10340217717111176154,0.0004715519085539663399,213138.32728757883888,0.042629231883051822705,296.99688186718890393,0.0044079553878397315439,3,3,0.050000000745058059692,0,0
550,0.0045603673099999996951,0,298393.2302206728491,0.048962349359916598757,0,0.016985659999999999648,313.12379148602485657,0.002623450470650823263,1999916.4690003942233,23.457997478183965967,0.10697708485757259633,4999791.1730233179405,22800.884222282089468,4999791.1725009875372,0.15654279926336953088,0.0007138926643765624875,213138.0215702901769,0.042629384751618461247,296.99645586646619222,0.0066733232198935557231,4,4,0.07500000298023223877,0,0
550,0.0045603673099999996951,0,298392.63095389306545,0.048962349359916598757,0,0.016985659999999999648,365.60213197767734528,0.0030631567286150129803,1999902.4107025351841,23.457879693876289906,0.10697654771786622996,4999756.0277531147003,22800.723946940754104,4999756.0267563397065,0.21625092474266036091,0.0009861836479536983599,213137.59350814353093,0.042629598797927645282,296.99585938471454938,0.0092186901614604559868,5,5,0.10000000149011611938,0,0
550,0.0045603673099999996951,0,298391.83446926460601,0.048962349359916598757,0,0.016985659999999999648,421.38175621628761292,0.0035305358680943754734,1999883.7257999179419,23.45772314609226683,0.10697583380246952767,4999709.3162346826866,22800.510925259099167,4999709.3144997954369,0.28529458085655945432,0.0013010480802584053518,213137.02456807612907,0.042629883291404865875,296.99506659710033318,0.012162074685585399364,6,6,0.125,0,0
550,0.0045603673099999996951,0,298390.81137608492281,0.048962349359916598757,0,0.016985659999999999648,488.13748376071453094,0.0040898966503846168052,1999859.7247617263347,23.457522057228995749,0.10697491676339104805,4999649.314767241478,22800.237296528426668,4999649.3119043176994,0.36648901241730680312,0.0016713245117020698958,213136.29375288411393,0.042630248734726275406,296.99404824514078882,0.015623517757893974969,7,7,0.15000000596046447754,0,0
550,0.0045603673099999996951,0,298389.52596309559885,0.048962349359916598757,0,0.016985659999999999648,568.7162119597196579,0.0047651008151774476573,1999829.5697601530701,23.457269406949805557,0.10697376458531697441,4999573.9289682237431,22799.893509594949137,4999573.9244003836066,0.46292342633162808507,0.0021111008604759499106,213135.37554883240955,0.042630707890651792225,296.9927687768079636,0.019734753363683302935,8,8,0.17499999701976776123,0,0
550,0.0045603673099999996951,0,298387.93499030335806,0.048962349359916598757,0,0.016985659999999999648,664.86336680501699448,0.0055707852300770355214,1999792.2463166110683,23.456956694507542949,0.10697233850171784797,4999480.6229144670069,22799.46799971756991,4999480.615791529417,0.57806997310769225873,0.0026362114082528987843,213134.23906188816181,0.042631276214708212213,296.99118514291620841,0.024643860694982977488,9,9,0.20000000298023223877,0,0
550,0.0045603673099999996951,0,298385.98683481558692,0.048962349359916598757,0,0.016985659999999999648,778.16037707775831223,0.0065202175549075036542,1999746.5432494981214,23.456573770575687377,0.10697059222793679767,4999366.3690473791212,22798.946960117064009,4999366.3581237467006,0.71586451025561914641,0.0032646051109588851598,213132.84740651398897,0.042631972161868605942,296.98924594543808553,0.030518715872887257345,10,10,0.22499999403953552246,0,0
