"Tw","area","dummy_bounds","enthalpy","heat_flux_perimeter","heat_transfer_coefficient","hydraulic_diameter","jump_pressure_pcs_wse","jump_rho_pcs_wse","pressure","rho","rhoA","rhoE","rhoEA","rhoe","rhou","rhouA","specific_internal_energy","specific_volume","temperature","u","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
550,0.0045603673099999996951,0,298396.61035664269002,0.048962349359916598757,0,0.016985659999999999648,730.22052600979804993,0.0061179968818123597885,1999995.7623291690834,23.458661811827322907,0.10698011446300269289,4999989.405822923407,22801.788236661181145,4999989.405822923407,0,0,213140.43596903051366,0.042628177515898313388,296.99982020223154677,0,1,1,0,0,0
550,0.0045603673099999996951,0,298396.97584571153857,0.048962349359916598757,0,0.016985659999999999648,736.34445930272340775,0.0061693120380539312464,2000004.3364931521937,23.458733647975893888,0.10698044206222630248,5000010.8412328902632,22801.885990004073392,5000010.8412328818813,-0.00064423310178543340392,-2.937939577402193011e-06,213140.69703265084536,0.042628046978413249024,297.00018398045102686,-2.7462398927958340573e-05,2,2,0.050000000745058059692,0,0
550,0.0045603673099999996951,0,298396.59415584692033,0.048962349359916598757,0,0.016985659999999999648,758.1770322285592556,0.0063522586839326322661,1999995.3820064167958,23.458658624523454961,0.10698009992772632148,4999988.4550160663202,22801.783900632672157,4999988.4550160439685,0.0010325188842764531239,4.708665366812009255e-06,213140.42439703282434,0.042628183307745044772,296.99980407727048259,4.4014404267645031112e-05,3,3,0.10000000149011611938,0,0
550,0.0045603673099999996951,0,298397.00594441278372,0.048962349359916598757,0,0.016985659999999999648,795.75017387419939041,0.0066670487110513931839,2000005.0426652280148,23.458739564673532385,0.10698046904454079631,5000012.6066630911082,22801.894041014245886,5000012.6066630715504,-0.00095976198425797650156,-4.3768671783908105435e-06,213140.71853172281408,0.042628036226886545368,297.00021393826023086,-4.0912768634137536338e-05,4,4,0.15000000596046447754,0,0
550,0.0045603673099999996951,0,298396.55431648675585,0.048962349359916598757,0,0.016985659999999999648,844.07476389780640602,0.0070718021394213792519,1999994.4470332509372,23.458650789888242372,0.10698006419891201157,4999986.1175831314176,22801.773241079925356,4999986.117583129555,0.00030967334076816802491,1.4122241800176437474e-06,213140.39594034763286,0.042628197544551285625,296.99976442439867697,1.3200816344546612265e-05,5,5,0.20000000298023223877,0,0
550,0.0045603673099999996951,0,298397.05044724978507,0.048962349359916598757,0,0.016985659999999999648,900.1790572926402092,0.0075417479763189021469,2000006.0850075562485,23.458748292030858096,0.10698050884449585018,5000015.2125189099461,22801.905924673937989,5000015.212518892251,0.00091387107641295128955,4.1675877824281349861e-06,213140.75031946360832,0.042628020367979684024,297.00025823278019743,3.8956514859038802849e-05,6,6,0.25,0,0
550,0.0045603673099999996951,0,298396.51047643291531,0.048962349359916598757,0,0.016985659999999999648,961.77332274988293648,0.0080578147340872874338,1999993.4185296944343,23.458642172717116381,0.10698002490144650767,4999983.5463243797421,22801.761515195572429,4999983.5463242372498,-0.0025858517505878636858,-1.1792433791887166455e-05,213140.36462601920357,0.042628213203363518602,296.99972078955352117,-0.00011023023973635023094,7,7,0.30000001192092895508,0,0
550,0.0045603673099999996951,0,298397.08953714219388,0.048962349359916598757,0,0.016985659999999999648,1027.9169043861329556,0.0086119438062723929761,2000007.0031844379846,23.458755988552127292,0.1069805439434598493,5000017.5079615218565,22801.91639273538749,5000017.5079610953107,0.0044719321318778537666,2.0393653106754370104e-05,213140.77824080290156,0.042628006382265111462,297.00029713967609268,0.00019062955145874557793,8,8,0.34999999403953552246,0,0
550,0.0045603673099999996951,0,298396.47821539873257,0.048962349359916598757,0,0.016985659999999999648,1099.3860560394823551,0.0092106451839981673402,1999992.6630700244568,23.458635847883439141,0.10697999605788176269,4999981.6576758986339,22801.752902264775912,4999981.6576750623062,-0.0062641818628639900704,-2.8566970191299840567e-05,213140.34158240223769,0.04262822469663022501,296.99968867950332196,-0.00026703095199072189982,9,9,0.40000000596046447754,0,0
550,0.0045603673099999996951,0,298397.11493295058608,0.048962349359916598757,0,0.016985659999999999648,1178.5973037928342819,0.0098744145195439614326,2000007.5985431245063,23.458760975202697097,0.10698056668441809081,5000018.9963590502739,22801.923180374818912,5000018.9963578134775,0.0076188586029665517421,3.4744793712480930752e-05,213140.79638064131723,0.042627997320790277092,297.00032241657260101,0.00032477668411473809354,10,10,0.44999998807907104492,0,0
550,0.0045603673099999996951,0,298396.45734541420825,0.048962349359916598757,0,0.016985659999999999648,1269.2698386497795582,0.01063430748442328877,1999992.1715396572836,23.458631723255667367,0.10697997724806410091,4999980.4288505818695,22801.747298369973578,4999980.4288491448388,-0.0082116029116693634027,-3.7447925481077782824e-05,213140.32667525208672,0.042628232191763003323,296.99966790718536913,-0.00035004611558519876328,11,11,0.5,0,0
550,0.0045603673099999996951,0,298397.13545006047934,0.048962349359916598757,0,0.016985659999999999648,1374.5489807948470116,0.011516394000324225999,2000008.0806975173764,23.458765017582162926,0.10698058511915325974,5000020.2017450882122,22801.928677377902204,5000020.2017437946051,0.0077894265977352166938,3.5522646419956201223e-05,213140.81103571812855,0.042627989975197233541,297.00034283763989151,0.00033204759892079151575,12,12,0.55000001192092895508,0,0
550,0.0045603673099999996951,0,298396.43048933357932,0.048962349359916598757,0,0.016985659999999999648,1500.8960674144327641,0.012574870286982786638,1999991.5426134220324,23.458626457657917541,0.1069799532350042548,4999978.8565343394876,22801.740128030382039,4999978.8565335553139,-0.0060637886310047420246,-2.765310344758367759e-05,213140.30749235730036,0.042628241760231298796,296.99964117684544362,-0.00025848864774541212676,13,13,0.60000002384185791016,0,0
550,0.0045603673099999996951,0,298397.16335695778253,0.048962349359916598757,0,0.016985659999999999648,1634.7422092370688915,0.013696225880096335459,2000008.7352975038812,23.458770501674564457,0.10698061012862897234,5000021.8382440628484,22801.936140414331021,5000021.8382437601686,0.0037659136353564697658,1.7173949434962903219e-05,213140.83096924636629,0.042627980009805575834,297.00037061394743887,0.00016053329116662981763,14,14,0.64999997615814208984,0,0
