"kappa_max_aux","kappa_aux","mu_aux","res_aux","c_aux","gx","jump_pressure","jump_rho","kappa_pcs_wse","mu_pcs_wse","visc_max_pcs_wse","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
2.1592706755785378014,2.1592706755785378014,2.1592706755785378014,0.00097202068346291525813,345.48330731620256984,0,0,0,4.3185413511570756029,4.3185413511570756029,4.3185413511570756029,0,1,1,3
2.1592706843499098746,2.1592706843499098746,2.1592706843499098746,0.00066434826072736541391,345.4833072142112087,0,0,0,4.3185413686998197491,4.3185413686998197491,4.3185413686998197491,0,2,2,3
2.1592706928852436477,2.1592706928852436477,2.1592706928852436477,0.00087468687982550363813,345.48330707104327075,0,0,0,4.3185413857704872953,4.3185413857704872953,4.3185413857704872953,0,3,3,3
2.1592707019881118846,2.1592707019881118846,2.1592707019881118846,0.00065750259568631008733,345.48330686455335581,0,0,0,4.3185414039762237692,4.3185414039762237692,4.3185414039762237692,0,4,4,3
2.159270712186432295,2.159270712186432295,2.159270712186432295,0.00062530682458827868686,345.48330658171124696,0,0,0,4.31854142437286459,4.31854142437286459,4.31854142437286459,0,5,5,3
2.1592707239752439996,2.1592707239752439996,2.1592707239752439996,0.00028428745616793094086,345.48330620924298273,0,0,0,4.3185414479504879992,4.3185414479504879992,4.3185414479504879992,0,6,6,3
2.1592707378919011596,2.1592707378919011596,2.1592707378919011596,0.00031330103121263164212,345.48330573091294582,0,0,0,4.3185414757838023192,4.3185414757838023192,4.3185414757838023192,0,7,7,3
2.1592707545503464495,2.1592707545503464495,2.1592707545503464495,0.00057353003279558834038,345.48330512639091694,0,0,0,4.3185415091006937871,4.3185415091006937871,4.3185415091006937871,0,8,8,3
2.1592707746670378732,2.1592707746670378732,2.1592707746670378732,0.0006693034723639357253,345.48330437041062169,0,0,0,4.3185415493340757465,4.3185415493340757465,4.3185415493340757465,0,9,9,3
2.1592707990871899959,2.1592707990871899959,2.1592707990871899959,0.0011990530573484647903,345.48330343187922153,0,0,0,4.3185415981743799918,4.3185415981743799918,4.3185415981743799918,0,10,10,3
2.1592708288140727291,2.1592708288140727291,2.1592708288140727291,0.00058340318514638056513,345.4833022728359424,0,0,0,4.3185416576281454581,4.3185416576281454581,4.3185416576281454581,0,11,11,3
2.1592708650426146733,2.1592708650426146733,2.1592708650426146733,0.00029985497167217545211,345.48330084721447975,0,0,0,4.3185417300852293465,4.3185417300852293465,4.3185417300852293465,0,12,12,3
2.1592709091982680292,2.1592709091982680292,2.1592709091982680292,0.00012247153154021361843,345.48329909937365301,0,0,0,4.3185418183965360583,4.3185418183965360583,4.3185418183965360583,0,13,13,3
2.1592709629821351669,2.1592709629821351669,2.1592709629821351669,0.00074208239607287396211,345.48329696236328346,0,0,0,4.318541925964271222,4.318541925964271222,4.318541925964271222,0,14,14,3
2.1592710284233516127,2.1592710284233516127,2.1592710284233516127,0.00099147458422521594912,345.48329435588527758,0,0,0,4.3185420568467050018,4.3185420568467050018,4.3185420568467050018,0,15,15,3
2.1592711079399160568,2.1592711079399160568,2.1592711079399160568,0.0003316509064461569691,345.48329118390540771,0,0,0,4.3185422158798330017,4.3185422158798330017,4.3185422158798330017,0,16,16,3
2.159271204409258349,2.159271204409258349,2.159271204409258349,9.8184250418853480369e-05,345.48328733186798445,0,0,0,4.3185424088185193625,4.3185424088185193625,4.3185424088185193625,0,17,17,3
2.1592713212499701214,2.1592713212499701214,2.1592713212499701214,0.00019822050990114803426,345.48328266345595239,0,0,0,4.3185426424999446837,4.3185426424999446837,4.3185426424999446837,0,18,18,3
2.1592714625163003106,2.1592714625163003106,2.1592714625163003106,0.00037947378996250341479,345.48327701683473379,0,0,0,4.3185429250326059503,4.3185429250326059503,4.3185429250326059503,0,19,19,3
2.1592716330071772823,2.1592716330071772823,2.1592716330071772823,0.00070825725924805738032,345.48327020031064194,0,0,0,4.3185432660143625583,4.3185432660143625583,4.3185432660143625583,0,20,20,3
2.1592718383917390845,2.1592718383917390845,2.1592718383917390845,0.0018823898144546549142,345.48326198732507919,0,0,0,4.3185436767834906036,4.3185436767834906036,4.3185436767834906036,0,21,21,3
2.1592720853534155268,2.1592720853534155268,2.1592720853534155268,0.0034270899905095575377,345.48325211070147134,0,0,0,4.3185441707068488171,4.3185441707068488171,4.3185441707068488171,0,22,22,3
2.1592723817550885101,2.1592723817550885101,2.1592723817550885101,0.0036633244781114626676,345.48324025605114684,0,0,0,4.3185447635102018893,4.3185447635102018893,4.3185447635102018893,0,23,23,3
2.1592727368277162547,2.1592727368277162547,2.1592727368277162547,0.0041970667898567626253,345.48322605423413734,0,0,0,4.3185454736554689248,4.3185454736554689248,4.3185454736554689248,0,24,24,3
2.1592731613853182182,2.1592731613853182182,2.1592731613853182182,0.004882555660515209596,345.48320907276672642,0,0,0,4.3185463227706879508,4.3185463227706879508,4.3185463227706879508,0,25,25,3
2.1592736680692845574,2.1592736680692845574,2.1592736680692845574,0.0072719679101282963529,345.4831888060533629,0,0,0,4.3185473361386419455,4.3185473361386419455,4.3185473361386419455,0,26,26,3
2.1592742716252679713,2.1592742716252679713,2.1592742716252679713,0.011792923225584672764,345.48316466431560912,0,0,0,4.3185485432506407477,4.3185485432506407477,4.3185485432506407477,0,27,27,3
