"alpha_liquid","alpha_vapor","density_liquid","density_vapor","pressure_liquid","pressure_vapor","velocity_liquid","velocity_vapor","visc_max_liq_aux","visc_max_vap_aux","beta_max_aux","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.999499999967078,0.00050000003292161,999.999994270946,49.99999642054,199999979.825847,199999979.837751,0,0,0.938083143222122,1.18321593960095,5.5689620891525e-10,1,0,0,0,0
0.999499999968118,0.000500000031881553,999.99999407222,49.9999962944476,199999979.12663,199999979.137583,2.22715191000875e-06,2.23444952131677e-06,0.938083143222122,1.18321593960095,5.5689620891525e-10,1,0.00100000004749745,0.00100000004749745,0,0
0.999499999967738,0.000500000032261805,999.999993752184,49.9999960944348,199999978.000015,199999978.018337,4.37057720808959e-06,4.38261730032035e-06,0.938083143901182,1.18321593993492,1.64971907843559e-09,1,0.0020000000949949,0.0020000000949949,0,0
0.999499999965254,0.000500000034745596,999.999993218049,49.9999957573849,199999976.119734,199999976.135251,6.65636725263602e-06,6.67467106646019e-06,0.938083144327333,1.18321593978177,2.75718614789413e-09,1,0.00300000002607703,0.00300000002607703,0,0
0.999499999961156,0.00050000003884354,999.999992453158,49.9999952757574,199999973.427592,199999973.441433,9.15868965599144e-06,9.18382492213188e-06,0.938083144488599,1.1832159390561,3.95440847535805e-09,1,0.00400000018998981,0.00400000018998981,0,0
0.999499999956053,0.000500000043947124,999.999991434261,49.9999946365029,199999969.840878,199999969.863277,1.19576938910619e-05,1.19904254722725e-05,0.938083144391613,1.18321593773989,5.27995411424137e-09,1,0.00499999988824129,0.00499999988824129,0,0
0.999499999949059,0.00050000005094053,999.999990130272,49.9999938139158,199999965.250916,199999965.263448,1.51420708755539e-05,1.51833923154849e-05,0.938083144035223,1.18321593579275,6.77603947745812e-09,1,0.00600000005215406,0.00600000005215406,0,0
0.999499999940839,0.000500000059161065,999.999988501797,49.9999927925929,199999959.518661,199999959.542037,1.88114366045222e-05,1.88625916677236e-05,0.938083143410414,1.18321593315419,8.48974839582363e-09,1,0.00700000021606684,0.00700000021606684,0,0
0.999499999930748,0.000500000069251549,999.999986499917,49.9999915379038,199999952.472063,199999952.506414,2.3078936003793e-05,2.31414519126962e-05,0.93808314249989,1.18321592974087,1.04742790145835e-08,1,0.00800000037997961,0.00800000037997961,0,0
0.999499999918043,0.000500000081956831,999.999984065053,49.9999900077802,199999943.901371,199999943.942157,2.80744059033856e-05,2.81501374648413e-05,0.938083141277918,1.18321592546539,1.27903858351063e-08,1,0.00899999961256981,0.00899999961256981,0,0
0.999499999902803,0.000500000097196751,999.999981125487,49.9999881625008,199999933.553652,199999933.613824,3.39478654290985e-05,3.40390348479704e-05,0.938083139709615,1.18321592021642,1.5508043153674e-08,1,0.00999999977648258,0.00999999977648258,0,0
0.999499999883998,0.000500000116001709,999.999977595021,49.9999859421497,199999921.12628,199999921.186437,4.08733993139257e-05,4.09826568906783e-05,0.93808313775018,1.18321591382097,1.87082887329973e-08,1,0.0109999999403954,0.0109999999403954,0,0
0.999499999862325,0.000500000137675261,999.999973371662,49.9999832845025,199999906.259949,199999906.314969,4.90534833589542e-05,4.91839729168967e-05,0.938083135343841,1.18321590609028,2.24852763751702e-08,1,0.0120000001043081,0.0120000001043081,0,0
0.999499999836155,0.000500000163844883,999.999968334306,49.9999801223513,199999888.528569,199999888.604802,5.87241775825826e-05,5.8879612095802e-05,0.938083132422314,1.18321589680601,2.6948655795631e-08,1,0.0130000002682209,0.0130000002682209,0,0
0.999499999804844,0.000500000195155614,999.999962340616,49.9999763573807,199999867.430691,199999867.525289,7.01609431972092e-05,7.03456952065988e-05,0.938083128903352,1.18321588570712,3.22263255252459e-08,1,0.0140000004321337,0.0140000004321337,0,0
0.999499999767691,0.000500000232308562,999.999955222698,49.999971881647,199999842.375599,199999842.471406,8.36853801683227e-05,8.39045862639857e-05,0.938083124688807,1.18321587248379,3.84675719721933e-08,1,0.0149999996647239,0.0149999996647239,0,0
0.999499999724567,0.000500000275432622,999.999946783713,49.9999665832023,199999812.670299,199999812.798895,9.96728271105132e-05,9.99325119273245e-05,0.938083119662131,1.18321585676386,4.58466542837553e-08,1,0.0160000007599592,0.0160000007599592,0,0
0.999499999672062,0.000500000327938177,999.99993679314,49.9999603062824,199999777.503348,199999777.653911,0.000118561245380045,0.000118868454708014,0.938083113685844,1.1832158381192,5.45669257680366e-08,1,0.017000000923872,0.017000000923872,0,0
0.999499999610609,0.000500000389391464,999.999924981257,49.9999528834573,199999735.925444,199999736.091446,0.000140861443609827,0.00014122441249515,0.938083106598294,1.18321581603905,6.48656117049753e-08,1,0.0179999992251396,0.0179999992251396,0,0
0.999499999538151,0.00050000046184917,999.999911033342,49.9999441223029,199999686.828695,199999687.034696,0.00016716859418119,0.000167596928708684,0.938083098209969,1.18321578993918,7.70192453198742e-08,1,0.0189999993890524,0.0189999993890524,0,0
0.999499999451923,0.000500000548077306,999.999894582417,49.9999337868963,199999628.921382,199999629.163714,0.000198175477942888,0.000198680365549012,0.938083088299283,1.18321575913158,9.13498587071264e-08,1,0.0199999995529652,0.0199999995529652,0,0
0.999499999350912,0.000500000649088062,999.999875201343,49.9999216149497,199999560.700073,199999560.998922,0.000234687955004812,0.000235282412459555,0.938083076607731,1.18321572279867,1.08232162690177e-07,1,0.0209999997168779,0.0209999997168779,0,0
0.999499999231889,0.00050000076811052,999.999852393605,49.9999072791972,199999480.41677,199999480.730034,0.000277642112738051,0.000278341261979087,0.938083062834254,1.18321567999897,1.28101702491683e-07,1,0.0219999998807907,0.0219999998807907,0,0
