"Tw","area","dummy_bounds","enthalpy","heat_flux_perimeter","heat_transfer_coefficient","hydraulic_diameter","jump_pressure_pcs_wse","jump_rho_pcs_wse","pressure","rho","rhoA","rhoE","rhoEA","rhoe","rhou","rhouA","specific_internal_energy","specific_volume","temperature","u","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
550,0.0045603673099999996951,0,121734.28365286839835,0.048962349359916598757,0,0.016985659999999999648,1581.8890399932861328,0.00068634015042334794998,9999994.6218894608319,1000.9550270109708663,4.5647225839609983922,111850548.56002861261,510079.58525872201426,111850548.56002861261,0,0,111743.83018389364588,0.00099904588419539403985,299.99999988958688846,0,1,1,0,0,0
550,0.0045603673099999996951,0,121734.29387786697771,0.048962349359916598757,0,0.016985659999999999648,1462.9923183917999268,0.00063475397837464697659,10000004.856652859598,1000.9550314515662421,4.5647226042117443612,111850549.10060168803,510079.58772393380059,111850549.10060168803,-0.0011391389732912848495,-5.1948921353445382426e-06,111743.8302282152581,0.00099904587976326836643,300.00000009970847259,-1.1380520977444180158e-06,2,2,0.025000000372529029846,0,0
550,0.0045603673099999996951,0,121734.28563146469241,0.048962349359916598757,0,0.016985659999999999648,1053.680068701505661,0.00045716411841567605734,9999996.6023747399449,1000.9550278702514561,4.5647225878796335863,111850548.66463315487,510079.58573575713672,111850548.66463315487,0.0020511243123570964408,9.3538802628195315909e-06,111743.83019247069024,0.00099904588333775239117,299.99999993024675859,2.0491673004743356691e-06,3,3,0.050000000745058059692,0,0
550,0.0045603673099999996951,0,121734.29031896762899,0.048962349359916598757,0,0.016985659999999999648,571.63455736637115479,0.0002480172224750276655,10000001.29435483925,1000.9550299059786767,4.5647225971632972019,111850548.91245049238,510079.58686589525314,111850548.91245049238,-0.0025523140971360010372,-1.16394897734311823e-05,111743.83021278868546,0.00099904588130590808032,300.00000002657378673,-2.549878886542728945e-06,4,4,0.07500000298023223877,0,0
550,0.0045603673099999996951,0,121734.29005770504591,0.048962349359916598757,0,0.016985659999999999648,530.95528921484947205,0.00023036758648231625557,10000001.032842684537,1000.9550297925154609,4.5647225966458631063,111850548.89863817394,510079.58680290600751,111850548.89863817394,0.0025383267862866321952,1.1575702498278912214e-05,111743.83021165625541,0.0009990458814191549488,300.00000002120492582,2.5359049215355790387e-06,5,5,0.10000000149011611938,0,0
550,0.0045603673099999996951,0,121734.28590385845746,0.048962349359916598757,0,0.016985659999999999648,972.04245093464851379,0.00042174374539172276855,9999996.875028880313,1000.9550279885488635,4.5647225884191131584,111850548.67903377116,510079.58580142928986,111850548.67903377116,-0.0020055781276568187578,-9.1461729310171625276e-06,111743.83019365118525,0.00099904588321968060619,299.99999993584435742,-2.0036645719109800117e-06,6,6,0.125,0,0
550,0.0045603673099999996951,0,121734.29360006314528,0.048962349359916598757,0,0.016985659999999999648,1426.3181596696376801,0.00061884204478701576591,10000004.578583123162,1000.9550313309190415,4.5647226036615489164,111850549.08591538668,510079.58765695890179,111850549.08591538668,0.0010541426809120644625,4.8072778221071394287e-06,111743.8302270116983,0.00099904587988368549756,300.00000009399974488,1.0531369021747405189e-06,7,7,0.15000000596046447754,0,0
550,0.0045603673099999996951,0,121734.28390282185865,0.048962349359916598757,0,0.016985659999999999648,1599.819726288318634,0.000694119804393267259,9999994.8720816038549,1000.9550271195226969,4.5647225844560344044,111850548.57324311137,510079.58531898498768,111850548.57324311137,0.00012884039890548415843,5.8755954337592972424e-07,111743.83018497712328,0.00099904588408704928307,299.99999989472337347,1.2871747023065751192e-07,8,8,0.17499999701976776123,0,0
550,0.0045603673099999996951,0,121734.29371663565689,0.048962349359916598757,0,0.016985659999999999648,1466.4885282814502716,0.00063627087365603074431,10000004.695267276838,1000.9550313815452682,4.564722603892422903,111850549.09207803011,510079.58768506278284,111850549.09207803011,-0.0013032398921142985398,-5.943252601085973662e-06,111743.83022751667886,0.00099904587983315582163,300.00000009639524023,-1.3019964446509964924e-06,9,9,0.20000000298023223877,0,0
550,0.0045603673099999996951,0,121734.28562747912656,0.048962349359916598757,0,0.016985659999999999648,1061.7926609516143799,0.00046068394294707104564,9999996.5983863603324,1000.9550278685210287,4.564722587871742121,111850548.66442151368,510079.58573479199549,111850548.66442151368,0.0022217748662426029665,1.0132109470192388913e-05,111743.83019245244213,0.00099904588333947952523,299.99999993016461985,2.2196550338267955765e-06,10,10,0.22499999403953552246,0,0
550,0.0045603673099999996951,0,121734.29055808506382,0.048962349359916598757,0,0.016985659999999999648,571.12997105717658997,0.00024779828891041688621,10000001.533701114357,1000.955030009824668,4.5647225976368730471,111850548.92509162426,510079.58692354348022,111850548.92509162426,-0.0026793444694596904761,-1.2218794930753264539e-05,111743.83021382467996,0.00099904588120226008735,300.00000003148750238,-2.6767880565357587337e-06,11,11,0.25,0,0
550,0.0045603673099999996951,0,121734.28954700978647,0.048962349359916598757,0,0.016985659999999999648,422.82668837904930115,0.00018345340868108905852,10000000.521660190076,1000.9550295707266514,4.5647225956344250619,111850548.87163840234,510079.58667977713048,111850548.87163840234,0.002556648564381652864,1.1659256536164518575e-05,111743.83020944212331,0.00099904588164052062632,300.00000001071015276,2.5542092190476398053e-06,12,12,0.27500000596046447754,0,0
550,0.0045603673099999996951,0,121734.28666482269182,0.048962349359916598757,0,0.016985659999999999648,765.80187061429023743,0.00033226134473807178438,9999997.6367203239352,1000.9550283190269511,4.564722589926214269,111850548.71926382184,510079.58598489308497,111850548.71926382184,-0.0018489677077878886001,-8.4319718918415193008e-06,111743.83019694920222,0.00099904588288983291189,299.99999995148186827,-1.847203576061741845e-06,13,13,0.30000001192092895508,0,0
550,0.0045603673099999996951,0,121734.29268129123375,0.048962349359916598757,0,0.016985659999999999648,1182.8668486177921295,0.0005132148908160161227,10000003.65893467702,1000.9550309319079133,4.5647226018419111426,111850549.03734111786,510079.58743544237223,111850549.03734111786,0.00067332108193789033754,3.0705914512033864722e-06,111743.83022302827158,0.00099904588028193572376,300.00000007511897593,6.7267865301702493514e-07,14,14,0.32499998807907104492,0,0
