"kappa_max_aux","kappa_aux","mu_aux","res_aux","c_aux","gx","jump_pressure","jump_rho","kappa_pcs_wse","mu_pcs_wse","visc_max_pcs_wse","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
37.954062315369334613,2.1188553525737594023e-07,2.1188553525737594023e-07,0.22335062423371709883,1518.1624890552056968,0,0,0,5.6181453692932344828e-09,5.6181453692932344828e-09,75.908124630738669225,0,1,1,3
37.954062524488051622,1.6755444946240537775e-07,1.6755444946240537775e-07,0.1766207915788981786,1518.1624952344070607,0,0,0,7.2240790568742044968e-09,7.2240790568742044968e-09,75.908125048976103244,0,2,2,3
37.954062310654350654,2.2952521795515805814e-07,2.2952521795515805814e-07,0.24194478729259574767,1518.1624841573643607,0,0,0,3.937391770856880132e-09,3.937391770856880132e-09,75.908124621308701307,0,3,3,3
37.954062673551838714,1.8685617516918775251e-07,1.8685617516918775251e-07,0.19696693090372718871,1518.1624978044990257,0,0,0,4.585849045875320482e-09,4.585849045875320482e-09,75.908125347103677427,0,4,4,3
37.954062318965831935,3.3461459511255325713e-07,3.3461459511255325713e-07,0.35272053238804801367,1518.1624845312464913,0,0,0,1.1678680429798386402e-08,1.1678680429798386402e-08,75.908124637931663869,0,5,5,3
37.954062505556869667,1.9050949497979497973e-07,1.9050949497979497973e-07,0.20081793057033792138,1518.1624944274667541,0,0,0,1.2215594031603586359e-08,1.2215594031603586359e-08,75.908125011113753544,0,6,6,3
37.954062339018143746,1.1190874465750749644e-07,1.1190874465750749644e-07,0.1179641071939840774,1518.1624903589422502,0,0,0,7.596441015029015381e-09,7.596441015029015381e-09,75.908124678036287492,0,7,7,3
37.954062257704563876,1.178691315945618537e-07,1.178691315945618537e-07,0.12424700957490129871,1518.1624872455652167,0,0,0,6.4655568345062925145e-09,6.4655568345062925145e-09,75.908124515409127753,0,8,8,3
37.95406254421942549,5.7345947981347103084e-08,5.7345947981347103084e-08,0.060448927251854904508,1518.1624974374615249,0,0,0,5.7490145223610952996e-09,5.7490145223610952996e-09,75.90812508843885098,0,9,9,3
37.954062205522419049,8.6372549466954818345e-08,8.6372549466954818345e-08,0.091046152960188919678,1518.1624818225270701,0,0,0,4.3051614613714972399e-09,4.3051614613714972399e-09,75.908124411044838098,0,10,10,3
