"kappa_max_liq_aux","kappa_liq_aux","mu_liq_aux","kappa_max_vap_aux","kappa_vap_aux","mu_vap_aux","beta_max_aux","beta_aux","pI_aux","vI_aux","TI_aux","gx","jump_alpha","jump_pressure_liquid","jump_pressure_vapor","jump_rho_liquid","jump_rho_vapor","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
321.02103307303866586,8.3452278678422688918e-08,8.3452278678422688918e-08,218.76674813950580756,5.2076260603231752571e-07,5.2076260603231752571e-07,9.9795528792946268425e-06,9.9795528792946268425e-06,0.83688272999171064992,0,615.29943725831071788,0,2.526405688740851474e-05,199.40273568406701088,199.4015413410961628,0.0020353951190372754354,0.0020121719419705641485,0,1,1,3
321.02104459242895018,1.4296215980106439079e-07,1.4296215980106439079e-07,218.76675504292001051,8.9211886050810321309e-07,8.9211886050810321309e-07,1.714193612443874645e-05,1.714193612443874645e-05,0.83688292027086585989,0,615.29943771211446801,0,2.5424853900335442347e-05,198.86814656853675842,198.86697407066822052,0.002053755418046421255,0.0020071261389347228032,0,2,2,3
321.0210470531777105,2.3248333878929808293e-07,2.3248333878929808293e-07,218.76676657206587606,1.450751020233909351e-06,1.450751020233909351e-06,2.8090977865791382591e-05,2.8090977865791382591e-05,0.83688255706234104814,0,615.29943672572767355,0,2.5837607968037801243e-05,197.34624771773815155,197.34513508342206478,0.0021013330811001651455,0.0019926822074864958267,0,3,3,3
321.02106944786635268,3.1299927230674188089e-07,3.1299927230674188089e-07,218.7667757775079167,1.9531920475670286795e-06,1.9531920475670286795e-06,3.8317667750875995575e-05,3.8317667750875995575e-05,0.83688305887497937974,0,615.29943839638247027,0,2.6409027994112044269e-05,194.78173192590475082,194.78071063756942749,0.0021685710707970429212,0.0019681246104852334611,0,4,4,3
321.02106348374456957,3.8040336195992381199e-07,3.8040336195992381199e-07,218.76678661832846728,2.3738097602215887708e-06,2.3738097602215887708e-06,4.7526227984594221357e-05,4.7526227984594221357e-05,0.83688246880061023525,0,615.29943582761029575,0,2.7083195285548811171e-05,190.85999584384262562,190.85909558087587357,0.0022505852697349837399,0.0019302193181260918209,0,5,5,3
321.0210886573797211,4.3041790636526960422e-07,4.3041790636526960422e-07,218.76679206045866977,2.6859154950515537827e-06,2.6859154950515537827e-06,5.5418365829060055447e-05,5.5418365829060055447e-05,0.83688308213164308569,0,615.29943955337250827,0,2.7787892857067397756e-05,185.19982182420790195,185.19907204620540142,0.0023409928573983052047,0.001875040417459672426,0,6,6,3
321.02107665139294568,4.5896254478476696499e-07,4.5896254478476696499e-07,218.76680183584511497,2.8640427835405665793e-06,2.8640427835405665793e-06,6.1697113730217696464e-05,6.1697113730217696464e-05,0.83688252312812250189,0,615.29943438672171396,0,2.8436798431230592143e-05,177.38476321659982204,177.38419436290860176,0.0024320465612390762544,0.0017982875213391480429,0,7,7,3
321.02109901533594893,4.6275357116050551193e-07,4.6275357116050551193e-07,218.76680143991416116,2.887702863573057824e-06,2.887702863573057824e-06,6.6074860443021254247e-05,6.2630159232842990899e-05,0.83688294025383092034,0,615.29944127652549923,0,2.8932414746885015688e-05,167.00038030184805393,167.00002187117934227,0.0025148284368015083601,0.0016956627998467865837,0,8,8,3
321.02108500537127611,4.4007210550192828083e-07,4.4007210550192828083e-07,218.76680991298556478,2.7461683096757325904e-06,2.7461683096757325904e-06,6.8284472770961212977e-05,4.8808531218132468195e-05,0.83688275904310516218,0,615.29943240903787682,0,2.9169818277274828233e-05,153.67591212131083012,153.67579072527587414,0.002579515763954987051,0.0015632939836649484278,0,9,9,3
321.02109766816488445,3.9158927899969788024e-07,3.9158927899969788024e-07,218.76680179967740969,2.4436260701528277288e-06,2.4436260701528277288e-06,6.8093715641097163392e-05,5.2190742851222294077e-05,0.83688260796680880027,0,615.29944344865293715,0,2.9041270802943053297e-05,137.12848498858511448,137.12862269207835197,0.0026157293821142957313,0.0013981843230510548892,0,10,10,3
