"kappa_max_liq_aux","kappa_liq_aux","mu_liq_aux","kappa_max_vap_aux","kappa_vap_aux","mu_vap_aux","beta_max_aux","beta_aux","pI_aux","vI_aux","gx","jump_alpha","jump_pressure_liquid","jump_pressure_vapor","jump_rho_liquid","jump_rho_vapor","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
321.04501655990611653,0.00088265616221143482299,0.00088265616221143482299,218.75804609414711877,0.0054917427596832043418,0.0054917427596832043418,0.0034141013059015763199,0.0034141013059015763199,8.3728912168940392772e-05,0,0,2.3529496938401450734e-05,5510.4876498021185398,5317.7353515569120646,0.013366313116762285063,0.027780963923262902426,0,5,5,3
321.04012253196191296,0.0025208266544044844772,0.0025208266544044844772,218.75524610007425963,0.013074707166529876343,0.013074707166529876343,0.0022191004574521246834,0.0022191004574521246834,8.3731585817299212984e-05,0,0,0.00010257283122949711895,23759.10823180899024,23067.347029866650701,0.057655595520827773726,0.12053482342577126474,0,6,6,3
320.9790034687238176,0.06308797275021330031,0.06308797275021330031,218.74608186473761862,0.42239218805583794714,0.42239218805583794714,0.023555702509519806098,0.023555702509519806098,8.3802696211507669757e-05,0,0,0.00025132097268432129766,57388.489567521959543,56590.582910966128111,0.13950748766774268006,0.29602007111714101484,0,7,7,3
320.79483525318590864,0.40976197562713079225,0.40976197562713079225,218.72497075465389571,2.6757848236749994797,2.6757848236749994797,0.10820338719266085759,0.10820338719266085759,8.4037858982100152507e-05,0,0,0.00036254902258003873783,80808.879218742251396,80580.841503486037254,0.19732100776946026599,0.42271706783203910618,0,8,8,3
320.43251129534905886,0.94963061992531749844,0.94963061992531749844,218.67866999448955312,6.1764386898817997817,6.1764386898817997817,0.27490624833480914457,0.27490624833480914457,8.4505893079508503625e-05,0,0,0.00034854563732866772341,73563.716902250424027,73970.587875798344612,0.1814243163194078079,0.39049605388221664271,0,9,9,3
319.90746642393247612,1.2869430522634006664,1.2869430522634006664,218.60721919164978999,8.364804771070911471,8.364804771070911471,0.51688281905922472959,0.51688281905922472959,8.5194459982337075558e-05,0,0,0.00026871198784028660356,52944.626117253676057,53397.633525060489774,0.13318378968472188717,0.28515729083935070776,0,10,10,3
319.26158423735273573,1.5146664163393659397,1.5146664163393659397,218.51555763553062661,9.8354350906697067813,9.8354350906697067813,0.81426027335837258825,0.81426027335837258825,8.6053329691311060282e-05,0,0,0.00021204759640458537007,39508.903682760894299,39742.28825662471354,0.10221625115127608296,0.21568444996081836962,0,11,11,3
318.52048894884774199,1.7617529844576924614,1.7617529844576924614,218.40678243615744236,11.46656583337233215,11.46656583337233215,1.1544928106283660618,1.1544928106283660618,8.7049960267950699617e-05,0,0,0.00019205392534349385869,32377.457826498895884,32481.99573678150773,0.086499180636337769101,0.17985631938631740923,0,12,12,3
317.69757362363725406,2.1928402682173313565,2.1928402682173313565,218.28277030411439341,14.361288898725383945,14.361288898725383945,1.5319369948648999813,1.5319369948648999813,8.8172403200778898713e-05,0,0,0.00018212313372734101335,30340.808136217296124,30407.768289232626557,0.083380290309037263796,0.17163939857545074119,0,13,13,3
316.79095654005681126,2.1641588777732216897,2.1641588777732216897,218.13958523672209822,14.354484565427629406,14.354484565427629406,1.9426932451766734111,1.9426932451766734111,8.9418961348147507932e-05,0,0,0.00017919469816352062708,23589.432078892365098,23732.04770471341908,0.068236436486586171668,0.13876464389943521383,0,14,14,3
315.81740220152323673,2.6302631301203520664,2.6302631301203520664,217.98262819294183146,17.402571873593458918,17.402571873593458918,2.3857458471805870204,2.2833629927626173384,9.0784173417319868676e-05,0,0,0.00018062776361138510595,23322.289872294291854,23169.531013868749142,0.069591180278507636103,0.13840559784451045289,0,15,15,3
314.77317733373138253,3.5638542212538668608,3.5638542212538668608,217.80877564607993691,24.207278610814903175,24.207278610814903175,2.8589754216655007824,2.4765586453695451752,9.2272804669734259956e-05,0,0,0.00017493626448672472407,26342.696881217882037,26564.690362971276045,0.07937876020821477141,0.15907519393985580791,0,16,16,3
313.63857645365027338,1.9149096636681290917,1.9149096636681290917,217.60695796675946667,13.280324669537087345,13.280324669537087345,3.3609157049341460421,2.6348206601544044148,9.3892779760962628626e-05,0,0,0.0001736459064159978638,12027.427134335041046,12230.327434601262212,0.044254864676872784912,0.083525014766991034776,0,17,17,3
312.45783596520425363,3.5913088666852663877,3.5913088666852663877,217.39527518526770677,24.562469611984354856,24.562469611984354856,3.8906078276229978385,2.7456033537395088118,9.562805084033804289e-05,0,0,0.00015807883039598014108,19464.239301783964038,19262.026676438748837,0.06595461617052933434,0.12561574700286826101,0,18,18,3
311.20091207231064345,5.5245644165550515936,5.5245644165550515936,217.15928776952887347,37.692051165621528241,37.692051165621528241,4.4459217246619937569,2.9058112360466008539,9.7488894108606894405e-05,0,0,8.1841618524758352748e-05,29331.22305104881525,28786.615504389628768,0.077214658920183865121,0.15804930489717605724,0,19,19,3
309.88968375431943514,6.0487549967757301417,6.0487549967757301417,216.8975125442505032,41.917483513978496035,41.917483513978496035,5.0111801634241217585,2.9117136955890510208,9.9430705270638319567e-05,0,0,1.1826407133597172106e-05,36170.591509997844696,35482.720055628567934,0.081759816477983804361,0.17710889516838790314,0,20,20,3
308.65294743108938746,6.3316466389507546353,6.3316466389507546353,216.64800912348226802,45.194731167611394085,45.194731167611394085,5.5506690898238399967,2.7459287701907082457,0.00010135339646710983747,0,0,0.00011155619795077953427,41911.284523477777839,41699.537905009463429,0.10006124538836047577,0.21602598235816117267,0,21,21,3
307.50294370195132387,6.7232135556350494099,6.7232135556350494099,216.41168068256249057,48.819785880493007824,48.819785880493007824,6.0499709346728476334,2.5158549649539247994,0.00010319564117297903958,0,0,0.0002059396684002123834,48471.786587400361896,48365.067451845854521,0.12194835088541822188,0.25817201254976396285,0,22,22,3
306.46363545254479277,7.6220572190164768145,7.6220572190164768145,216.19370010489080869,55.981289594475157401,55.981289594475157401,6.497284643817966554,2.2516150016608924567,0.00010489881451382587719,0,0,0.00041818437876994796198,58978.874986246228218,58755.651527099311352,0.15472798992470870871,0.32183702976192307688,0,23,23,3
305.57511671194242808,7.1080486492081487171,7.1080486492081487171,216.00811753463784726,52.920550612283420833,52.920550612283420833,6.8836752504718354828,1.9039254653674744233,0.00010635054889120273622,0,0,0.00033289127853142197466,58238.830858407542109,58156.536693580448627,0.15673137116903035349,0.32406476536986872361,0,24,24,3
