"Hw_liquid","Hw_vapor","Tw","alpha_A_liquid","alpha_liquid","alpha_rhoE_A_liquid","alpha_rhoE_A_vapor","alpha_rho_A_liquid","alpha_rho_A_vapor","alpha_rhou_A_liquid","alpha_rhou_A_vapor","alpha_vapor","area","density_liquid","density_vapor","dummy_bounds","enthalpy_liquid","enthalpy_vapor","heat_flux_perimeter","hydraulic_diameter","internal_energy_liquid","internal_energy_vapor","momentum_liquid","momentum_vapor","pressure_liquid","pressure_mix","pressure_vapor","specific_internal_energy_liquid","specific_internal_energy_vapor","specific_volume_liquid","specific_volume_vapor","temperature_liquid","temperature_vapor","total_energy_liquid","total_energy_vapor","velocity_liquid","velocity_vapor","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0,0,550,0.00017158241739113213957,0.8994109061661677007,164083.73365909306449,4525.4864281587142614,0.10350403190821995392,0.0018437447978682513106,0,0,0.1005890938338322993,0.00019077199999999999562,603.2321579446946771,96.080505524712307874,0,1609942.4375874965917,2609321.8662615907378,0.048962349359916598757,0.016985659999999999648,956296898.91275167465,235830373.19776847959,0,0,14872151.879895817488,14872397.207585839555,14874590.789330936968,1585288.3277493084315,2454508.0389602230862,0.0016577365560336747644,0.010407938577537936137,615.182201922440413,614.25241641998229625,956296898.91275167465,235830373.19776847959,0,0,1,1,0,0,0
0,0,550,0.0001715225333509204917,0.89909700244753154585,163969.40437767730327,4517.2734056180506741,0.10343244191586624392,0.001840937310734163182,0.084357638122886879906,0.0015268105116258614412,0.10090299755246845415,0.00019077199999999999562,603.02538619956294497,95.635756787172852,0,1609802.3818680206314,2608437.2318996968679,0.048962349359916598757,0.016985659999999999648,955964016.93720448017,234670022.54277127981,491.81665216137133712,79.317029373324061226,14787485.535329973325,14787720.41077375412,14789813.270377293229,1585279.8884006543085,2453789.5702023282647,0.0016583049783397739788,0.010456340113723290933,615.10396219218750957,613.54087488619427404,955964217.49560952187,234670055.43418845534,0.81558200270960301559,0.82936583593765700329,2,2,2,0,0
0,0,550,0.00017135316730322504991,0.89820920943967175187,163681.16687031029142,4507.3418951613821264,0.10325176139043039381,0.001838082307987528273,0.17091699955595995863,0.003079949278596006302,0.10179079056032824813,0.00019077199999999999562,602.56698499022775195,94.654624028600608199,0,1609493.731672070222,2606479.4206715854816,0.048962349359916598757,0.016985659999999999648,955226144.82870543003,232111753.83777758479,997.45456851408380317,158.60630382317066278,14600814.861276462674,14601082.369511049241,14603442.881288040429,1585261.3379476757254,2452196.669944442343,0.0016595665293813229718,0.010564724230459596882,614.93079701958754413,611.96755391307704031,955226970.3930336237,232111886.72066560388,1.6553422164844631137,1.6756318611042875233,3,3,4,0,0
0,0,550,0.00017113889424350735508,0.8970860201890600294,163312.0254950565577,4491.8657138159724127,0.10302032074591026267,0.0018333312796035862707,0.27079192800752371895,0.0048638822109498417237,0.1029139798109399706,0.00019077199999999999562,601.96906846509341449,93.379585601086375846,0,1609095.0359612042084,2603918.7707874854095,0.048962349359916598757,0.016985659999999999648,954263905.49440193176,228790050.71924003959,1582.2933133027238455,247.73880766884590798,14359454.822829902172,14359765.786039639264,14362476.406586626545,1585237.4407336132135,2450107.7965436838567,0.0016612149234674295287,0.010708978772640494193,614.70551789573619317,609.91510755314868675,954265985.04654216766,228790379.3484389782,2.628529265361209788,2.6530296324849369505,4,4,6,0,0
0,0,550,0.00017089463424642013442,0.89580564362914960608,162892.54807823090232,4473.1181647369994607,0.1027572093590834873,0.0018274584378358486435,0.38358828601973055106,0.0068717114810438418779,0.10419435637085039392,0.00019077199999999999562,601.28985214897716105,91.936650987403965019,0,1608647.6878000299912,2601001.2879789471626,0.048962349359916598757,0.016985659999999999648,953171132.82786381245,225035112.82597288489,2244.5894086213293122,345.70533974333403648,14088208.050878435373,14088559.892669677734,14091584.834453823045,1585210.7422423348762,2447719.276361333672,0.0016630914299086447129,0.010877054898780331993,614.45044258424968575,607.58275999686793512,953175322.30619549751,225035762.79625484347,3.7329574091418460391,3.7602559591897501967,5,5,8,0,0
0,0,550,0.00017061556389772562499,0.89434279610071509836,162423.9764884506294,4453.865628418828237,0.10246311625444602667,0.0018215416478406117572,0.51051882889881672334,0.0091311015790780207524,0.10565720389928490164,0.00019077199999999999562,600.54964455567994719,90.370224110951625107,0,1608167.1241924401838,2597810.5135831423104,0.048962349359916598757,0.016985659999999999648,951980586.98132002354,220963801.31052830815,2992.2172235403086233,453.01170964681108444,13796153.530685503036,13796536.858284130692,13799781.561567269266,1585182.1670557281468,2445095.2012605504133,0.0016651412736075393763,0.011065591679536553385,614.17348094920055246,605.03972734788692378,951988041.28921449184,220964936.74872764945,4.9824643985163250548,5.0128426050003822567,6,6,10,0,0
0,0,550,0.00017030650665070652889,0.89272276146765006111,161907.28563261474483,4431.0097297084757884,0.10213866056823664441,0.0018143512084702593558,0.64793067550863681081,0.011570383147346522193,0.10727723853234993889,0.00019077199999999999562,599.73434120001024894,88.654164231662505813,0,1607645.9670146179851,2594284.0835716356523,0.048962349359916598757,0.016985659999999999648,950669670.21930193901,216509456.23787000775,3804.4974807540556867,565.36057791863447619,13478757.513909509405,13479194.214144483209,13482828.277110992,1585151.2993521501776,2442180.3320158589631,0.0016674049346567297678,0.011279785993886272399,613.86966938441082675,602.24114023036042909,950681737.39645588398,216511258.93143683672,6.3436378732984097795,6.3771463283020608515,7,7,12,0,0
0,0,550,0.00016996046428888631429,0.89090885606318703793,161334.60535990184871,4404.6924948918413065,0.10177883480879865163,0.0018059595484133208251,0.79782290294764379723,0.014224168160684124568,0.10909114393681296207,0.00019077199999999999562,598.83829592158838295,86.776851717334366754,0,1607083.2375223473646,2590391.528604246676,0.048962349359916598757,0.016985659999999999648,949229451.9896299839,211643991.08082672954,4694.1675894198724563,683.47518213604007542,13135137.075643178076,13135595.455278836191,13139338.879924593493,1585118.1503494253848,2438945.2589295674115,0.001669899882506745278,0.011523810557882246258,613.53732153919429493,599.16729129836483025,949247850.28638863564,211646682.6876052022,7.8387899060392172146,7.8762385199497897403,8,8,14,0,0
0,0,550,0.00016960393890331294841,0.88904000012220318894,160745.65608689541114,4374.5736979049161164,0.10140856712771714743,0.0017960823115233579515,0.95290685737951674739,0.016942947436020847768,0.11095999987779681106,0.00019077199999999999562,597.91398586283833083,84.848692722474098105,0,1606513.9882312715054,2586363.722139203921,0.048962349359916598757,0.016985659999999999648,947744374.52197027206,206655383.5110360086,5618.4240975838747545,800.40148025992493785,12786410.175935588777,12786855.329225987196,12790422.01165015623,1585084.8063945155591,2435575.3386439466849,0.0016724813662903686637,0.011785685411451569601,613.19623318613832907,596.00011369786648174,947770771.87182879448,206659158.71669355035,9.3967096111258108238,9.4332800492036383844,9,9,16,0,0
0,0,550,0.00016925423167138737191,0.88720688398395664009,160185.84728724835441,4349.3349762788102453,0.10105637429965991236,0.0017879939138576127211,1.0945155690456127573,0.019425069253370900318,0.11279311601604335991,0.00019077199999999999562,597.06852408785960051,83.093836059201365174,0,1606003.389936145395,2582669.2168131768703,0.048962349359916598757,0.016985659999999999648,946386500.93010425568,202122701.16652458906,6466.6954452911440967,902.74553367790383618,12472553.222539590672,12472974.427861439064,12476287.540171079338,1585055.0862246458419,2432463.2337652510032,0.0016748496356053907581,0.012034587009408688474,612.88583803016285856,593.11026053486284582,946421520.48673391342,202127604.9568490386,10.830742510116911248,10.864169672401814637,10,10,18,0,0
0,0,550,0.00016895120925702073063,0.88561848309511215227,159689.64733749808511,4320.1635284349113135,0.10074406947648714694,0.0017780991757169227821,1.2244890790609053166,0.021665571560636611576,0.11438151690488784773,0.00019077199999999999562,596.29090504601253997,81.486468417237247763,0,1605542.2453682101332,2579266.1742260786705,0.048962349359916598757,0.016985659999999999648,945137987.12719869614,197977771.99178028107,7247.5899074396347714,992.88663806133627077,12188206.206795778126,12188579.598804289475,12191470.650375621393,1585028.34628052474,2429578.5034893108532,0.0016770337959839173164,0.012271976187256937799,612.60170576993925806,590.46015272042336619,945182032.3734215498,197983820.99534606934,12.154453214208219336,12.184681178934317458,11,11,20,0,0
0,0,550,0.00016865714574705714516,0.88407704352345806154,159236.27567311859457,4301.767278533418903,0.10045853197493891107,0.001772295380905115729,1.3340478415230325737,0.023578788781304479277,0.11592295647654193846,0.00019077199999999999562,595.63756714821431615,80.140495643070934761,0,1605161.3940393528901,2576408.53783536423,0.048962349359916598757,0.016985659999999999648,944089366.4212603569,194512266.82718467712,7909.8210491701629508,1066.1968879205619487,11952541.625153265893,11952861.150053162128,11955297.980836456642,1585006.4174786002841,2427140.8014931897633,0.0016788732866326529398,0.012478086040967248035,612.36404389430902029,588.24058463855658374,944141886.00068295002,194519359.22032931447,13.279587261496450523,13.304096504084286678,12,12,22,0,0
0,0,550,0.00016839899408254259687,0.88272384879616816455,158851.2495568524464,4289.5485538143720987,0.10021593718550185492,0.0017686885112312966933,1.4223269106014102547,0.025137537151435161015,0.11727615120383183545,0.00019077199999999999562,595.11007017286533483,79.054576651732290316,0,1604858.1666811048053,2574111.1855859975331,0.048962349359916598757,0.016985659999999999648,943242904.43756198883,191720769.91571128368,8446.1722491301898117,1123.5654808378083089,11764415.088665885851,11764661.447509991005,11766515.761663561687,1584988.9822290730663,2425169.7755630211905,0.0016803614156781514124,0.012649489028388685372,612.17284854804620409,586.45253643215153261,943302841.10242235661,191728754.26932621002,14.192621957609921068,14.212529222534113771,13,13,24,0,0
0,0,550,0.0001682344617605990118,0.88186139349904080209,158589.71818551537581,4273.698296525767546,0.10005112187815365377,0.0017632068829184102763,1.4889681550346944849,0.026263733736398873347,0.11813860650095919791,0.00019077199999999999562,594.71240809465302846,78.234227012243266586,0,1604632.2539075987879,2572419.1475852532312,0.048962349359916598757,0.016985659999999999648,942604963.6867736578,189617102.19901752472,8850.5538012391643861,1165.3328530124736062,11623890.844629401341,11624074.130678733811,11625442.293852996081,1584976.1176275156904,2423710.3048176518641,0.0016814850108875522856,0.012782129231538326419,612.02916724459328179,585.11060340810206526,942670820.98310923576,189625781.2689730525,14.882073554837504048,14.895435124962693507,14,14,26,0,0
0,0,550,0.00016817059427528101441,0.88152660912126001858,158466.63401950019761,4257.2793321013605237,0.099973514928262161017,0.001757010806250091468,1.532044779050028227,0.026937695537604011004,0.11847339087873998142,0.00019077199999999999562,594.47678923352077618,77.739005602136600714,0,1604500.1668438906781,2571495.5176709615625,0.048962349359916598757,0.016985659999999999648,942227122.32935214043,188354338.91437858343,9110.0634189482661895,1191.8592969702967821,11541181.567626221105,11541281.967672474682,11542029.01569458656,1584968.7311496178154,2422906.4606044022366,0.0016821514617742000432,0.012863555331771771989,611.94425854071198501,584.31817385154238309,942296925.94237816334,188363475.43839746714,15.324506497039493524,15.331548014264017255,15,15,28,0,0
0,0,550,0.00016806288189185291087,0.88096199595251356573,158335.11935362147051,4263.1611219285196057,0.099890643656616470714,0.0017596241659441908944,1.5501685212302882544,0.027311484628189122703,0.11903800404748643427,0.00019077199999999999562,594.36469571487702979,77.485358857370655983,0,1604435.9140400514007,2571209.3447590917349,0.048962349359916598757,0.016985659999999999648,942046746.46486341953,187719714.52492460608,9223.7411603343152819,1202.6660171532994354,11501747.345228461549,11501781.091785850003,11502030.839207198471,1584964.1697372503113,2422647.546492818743,0.0016824687051730786817,0.012905663918272951979,611.90357028735138556,583.94541832065704057,942118316.49720740318,187729047.93687587976,15.518655846879303439,15.521203423308376657,16,16,30,0,0
0,0,550,0.00016800889331169426466,0.88067899540652860857,158282.18440563074546,4270.6374283712093529,0.099857692575890416586,0.0017625334150352645578,1.5522205406246427639,0.027394530619766179619,0.11932100459347139143,0.00019077199999999999562,594.35956399422229879,77.42938778829979185,0,1604423.4541842869949,2571511.6046802853234,0.048962349359916598757,0.016985659999999999648,942034181.49326527119,187602887.17796382308,9238.9189049946580781,1203.4618558388515339,11498436.813508417457,11498424.013381104916,11498329.538788804784,1584956.714017682476,2422889.971581463702,0.0016824832316650007932,0.012914992983466518431,611.89940600766203715,583.92778241103803794,942105987.87756860256,187612239.70211407542,15.544326136366283464,15.542701424028361856,17,17,32,0,0
