"kappa_max_liq_aux","kappa_liq_aux","mu_liq_aux","kappa_max_vap_aux","kappa_vap_aux","mu_vap_aux","beta_max_aux","beta_aux","pI_aux","vI_aux","gx","jump_alpha","jump_pressure_liquid","jump_pressure_vapor","jump_rho_liquid","jump_rho_vapor","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
40.128865241567694966,6.2262375202414837096e-09,6.2262375202414837096e-09,27.343773710066990645,3.7446752819956359306e-08,3.7446752819956359306e-08,1.0947151449851220143e-07,1.0947151449851220143e-07,8.3738313053550994785e-05,0,0,5.3716464687880716156e-05,11986.198071271181107,11953.630053609609604,0.029075810309223015793,0.06245101037029598956,0,1,1,3
40.128865301538795052,1.0778598374033029877e-08,1.0778598374033029877e-08,27.343773779715192518,6.4823578295843677047e-08,6.4823578295843677047e-08,1.8953101163092738508e-07,1.8953101163092738508e-07,8.373831319643227993e-05,0,0,5.3711128302325050754e-05,11984.974212273955345,11952.435256108641624,0.029072840717162762303,0.062444768375485182332,0,2,2,3
40.128865468819398643,1.7944745151379168367e-08,1.7944745151379168367e-08,27.343773918752809493,1.07913566369240174e-07,1.07913566369240174e-07,3.1562402815481561657e-07,3.1562402815481561657e-07,8.3738312910307409931e-05,0,0,5.3696888944188003734e-05,11981.705876871943474,11949.245086699724197,0.029064907301290077157,0.062428101651903489255,0,3,3,3
40.128865533539922694,2.5081076050054918156e-08,2.5081076050054918156e-08,27.343774016214275946,1.5081106054607593944e-07,1.5081106054607593944e-07,4.41318449898324732e-07,4.41318449898324732e-07,8.3738313340411672141e-05,0,0,5.3675492033278260351e-05,11976.789568051695824,11944.447993129491806,0.029052976948150899261,0.062403039014839123411,0,4,4,3
40.128865741154932323,3.2175242641219048337e-08,3.2175242641219048337e-08,27.343774170865522422,1.9343917140791608631e-07,1.9343917140791608631e-07,5.6644736897958902563e-07,5.6644736897958902563e-07,8.3738312765109713292e-05,0,0,5.3646883325875194259e-05,11970.209601178765297,11938.030544862151146,0.029037016774054791313,0.062369511379642972315,0,5,5,3
40.128865762794802663,3.9214094052904903452e-08,3.9214094052904903452e-08,27.343774250140199911,2.3571352182458964309e-07,2.3571352182458964309e-07,6.9083069800503644817e-07,6.9083069800503644817e-07,8.3738313487216061532e-05,0,0,5.3610995179198539518e-05,11961.946437567472458,11929.976049691438675,0.029016973769103060476,0.062327431703351976466,0,6,6,3
40.128866011087751531,4.61840462396233774e-08,4.61840462396233774e-08,27.343774420023379434,2.7755090441572482015e-07,2.7755090441572482015e-07,8.1428008129955599339e-07,8.1428008129955599339e-07,8.3738312616448749653e-05,0,0,5.3567746755689427118e-05,11951.977609902620316,11920.265354469418526,0.028992793399083893746,0.06227669786687783926,0,7,7,3
40.128865987737405874,5.3070579074438440612e-08,5.3070579074438440612e-08,27.343774479946716838,3.1885984733754640009e-07,3.1885984733754640009e-07,9.3659120348392878982e-07,9.3659120348392878982e-07,8.3738313637765041282e-05,0,0,5.3517052381657492788e-05,11940.278653904795647,11908.877649307250977,0.028964417825591226574,0.062217202837587137765,0,8,8,3
40.128866277134115137,5.985854612895751149e-08,5.985854612895751149e-08,27.343774664698706545,3.5954862399360426429e-07,3.5954862399360426429e-07,1.0575474527045406298e-06,1.0575474527045406298e-06,8.3738312463837766449e-05,0,0,5.3458823589203063875e-05,11926.823952287435532,11895.791173160076141,0.0289317813549132552,0.062148835017296732985,0,9,9,3
40.128866206572965325,6.6531856728562508935e-08,6.6531856728562508935e-08,27.343774703906603918,3.9951699798811415181e-07,3.9951699798811415181e-07,1.1769152443660702085e-06,1.1769152443660702085e-06,8.3738313792505898996e-05,0,0,5.3392966425924726082e-05,11911.587424263358116,11880.9837596565485,0.028894820341520244256,0.062071476417941084947,0,10,10,3
40.128866537484512378,7.3073738031043584405e-08,7.3073738031043584405e-08,27.343774903042550761,4.3866365885844557133e-07,4.3866365885844557133e-07,1.2944467178831688581e-06,1.2944467178831688581e-06,8.3738312307025513379e-05,0,0,5.3319386603689622461e-05,11894.542983785271645,11864.433137729763985,0.028853473620074510109,0.061985008787928563834,0,11,11,3
