"Hw_liquid","Hw_vapor","Tw","alpha_A_liquid","alpha_liquid","alpha_rhoE_A_liquid","alpha_rhoE_A_vapor","alpha_rho_A_liquid","alpha_rho_A_vapor","alpha_rhou_A_liquid","alpha_rhou_A_vapor","alpha_vapor","area","density_liquid","density_vapor","dummy_bounds","enthalpy_liquid","enthalpy_vapor","heat_flux_perimeter","hydraulic_diameter","internal_energy_liquid","internal_energy_vapor","momentum_liquid","momentum_vapor","pressure_liquid","pressure_mix","pressure_vapor","specific_internal_energy_liquid","specific_internal_energy_vapor","specific_volume_liquid","specific_volume_vapor","temperature_liquid","temperature_vapor","total_energy_liquid","total_energy_vapor","velocity_liquid","velocity_vapor","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0,0,550,0.00017169486157751301467,0.90000032278066499636,164277.25807374619762,4531.6608969433464154,0.10362526951493090943,0.0018454668541447462847,0,0,0.099999677219335003642,0.00019077199999999999562,603.54321942330500406,96.737089875566539376,0,1610154.4925316895824,2610623.6093897838145,0.048962349359916598757,0.016985659999999999648,956797754.83311080933,237544059.10278967023,0,0,15000071.358362987638,15000071.385529175401,15000071.630025753751,1585301.1417265960481,2455563.4184193876572,0.001656882171512946136,0.010337296700637838703,615.30006562850257978,615.30059667441253168,956797754.83311080933,237544059.10278967023,0,0,1,1,0,0,0
0,0,550,0.00017169473830375430075,0.89999967659695501165,164277.04431394365383,4531.6528670172583588,0.10362513560923870826,0.0018454644865794709446,3.9169241336870010155e-07,6.0683839213140349008e-09,0.10000032340304498835,0.00019077199999999999562,603.54287285094301296,96.736340674230433478,0,1610154.2558104670607,2610622.1269827149808,0.048962349359916598757,0.016985659999999999648,956797196.79768168926,237542103.22066625953,0.002281330326359426279,0.00031809512381476948194,14999928.487339645624,14999928.461287368089,14999928.226817725226,1585301.1274544235785,2455562.2175187887624,0.0016568831229442256003,0.010337376760690202351,615.29993422928203017,615.29940213068857702,956797196.79768168926,237542103.22066625953,3.7798977156057753934e-06,3.2882691406116706553e-06,2,2,0.25,0,0
0,0,550,0.00017169486202309522513,0.90000032511634431298,164277.25888879003469,4531.6609312543605483,0.10362527002532334608,0.0018454668647244249109,-7.5056159208309093785e-07,-1.1790888585892999179e-08,0.099999674883655687019,0.00019077199999999999562,603.54322082966223206,96.737092689615749919,0,1610154.4934911802411,2610623.6149630025029,0.048962349359916598757,0.016985659999999999648,956797757.09707939625,237544066.44961613417,-0.004371485455296445985,-0.00061806381020923202921,15000071.937940893695,15000071.961022689939,15000072.168759616092,1585301.1417837068439,2455563.422934202943,0.001656882167652131907,0.010337296399929384039,615.30006616144771669,615.30060116235381429,956797757.09707939625,237544066.44961613417,-7.2430362970313417009e-06,-6.3891088002025324624e-06,3,3,0.5,0,0
0,0,550,0.00017169473752292913494,0.89999967250397927554,164277.04288951447234,4531.6528072761093426,0.10362513471729839498,0.0018454644681821733704,1.0550601469697755645e-06,1.6993920585295115296e-08,0.10000032749602072446,0.00019077199999999999562,603.54287040078725113,96.736335750491136309,0,1610154.2541371993721,2610622.11724004196,0.048962349359916598757,0.016985659999999999648,956797192.85266935825,237542090.36662068963,0.00614497661484165493,0.00089079450501455663142,14999927.477334463969,14999927.458037961274,14999927.284370070323,1585301.1273537219968,2455562.2096262280829,0.0016568831296705443211,0.010337377286847696661,615.29993330039633292,615.29939428008913183,956797192.85266935825,237542090.36662068963,1.0181508085351148786e-05,9.2084788833862154313e-06,4,4,0.75,0,0
0,0,550,0.00017169486293099726101,0.9000003298754390979,164277.26053654873976,4531.6609998962221653,0.10362527105716648479,0.0018454668858014890501,-1.3040381058889085396e-06,-2.1811854540467646216e-08,0.099999670124560902096,0.00019077199999999999562,603.54322364794700206,96.737098398274596889,0,1610154.4954155096784,2610623.6262577283196,0.048962349359916598757,0.016985659999999999648,956797761.63466465473,237544081.35272246599,-0.0075950909865776855198,-0.001143350517510742818,15000073.099645558745,15000073.115824136883,15000073.261431857944,1585301.1418992828112,2455563.4320840793662,0.0016568821599152114277,0.010337295789903866092,615.30006722981454459,615.3006102642038968,956797761.63466465473,237544081.35272246599,-1.2584170758593390366e-05,-1.1819152491048207174e-05,5,5,1,0,0
0,0,550,0.00017169473676827292329,0.89999966854817758932,164277.04153549132752,4531.6527516780079168,0.103625133869251429,0.00184546445122123399,1.5207723611388637658e-06,2.6735623232608727961e-08,0.10000033145182241068,0.00019077199999999999562,603.5428681142897176,96.736331034740558721,0,1610154.2525773504749,2610622.1079093981534,0.048962349359916598757,0.016985659999999999648,956797189.17189133167,237542078.05559316278,0.0088574198007674975058,0.0014014391324299166255,14999926.535063076764,14999926.519730979577,14999926.381742609665,1585301.127260951791,2455562.2020674478263,0.0016568831359475783352,0.010337377790779285827,615.29993243394596902,615.29938676122151264,956797189.17189145088,237542078.05559316278,1.4675709495899825311e-05,1.4487205762710010453e-05,6,6,1.25,0,0
0,0,550,0.00017169486321606453245,0.90000033136972168446,164277.26101797146839,4531.6610182258364148,0.10362527135865129413,0.0018454668911854319076,-1.7523121896643753731e-06,-3.2584697906525156295e-08,0.09999966863027831554,0.00019077199999999999562,603.54322440180987996,96.737100126024657243,0,1610154.4959338877816,2610623.6296750707552,0.048962349359916598757,0.016985659999999999648,956797762.85002410412,237544085.8631298244,-0.010205967475329928013,-0.0017080497076460761808,15000073.410985294729,15000073.429098039865,15000073.592113342136,1585301.1419328509364,2455563.4348524850793,0.0016568821578456629021,0.010337295605277043581,615.30006751645100849,615.30061301868227019,956797762.85002422333,237544085.8631298542,-1.6910085413427303154e-05,-1.7656614736444523474e-05,7,7,1.5,0,0
0,0,550,0.00017169473726185959439,0.89999967113548950959,164277.04248443513643,4531.6527934362711676,0.10362513446326040989,0.0018454644643817283856,2.0620093305896006601e-06,4.0366555619899845347e-08,0.10000032886451049041,0.00019077199999999999562,603.54286983891017826,96.736334227455301971,0,1610154.2537540150806,2610622.1142249298282,0.048962349359916598757,0.016985659999999999648,956797191.94822251797,237542086.39042967558,0.012009741029189117262,0.0021159511285230997446,14999927.245804518461,14999927.220505895093,14999926.99281912297,1585301.1273310184479,2455562.2071836944669,0.0016568831312130437392,0.010337377449601394333,615.29993308750772485,615.29939185137641289,956797191.94822263718,237542086.39042970538,1.9898737321500626035e-05,2.1873385480453312054e-05,8,8,1.75,0,0
0,0,550,0.00017169486169010415768,0.90000032337085189571,164277.25818995365989,4531.6608986779938277,0.1036252695881993563,0.0018454668541618411172,-2.5188576125070581791e-06,-5.1092630806207879074e-08,0.09999967662914810429,0.00019077199999999999562,603.54321945425999729,96.73709044739410956,0,1610154.4925518112723,2610623.6105220033787,0.048962349359916598757,0.016985659999999999648,956797754.88250362873,237544060.5956761837,-0.014670547433466005205,-0.0026782125272795612864,15000071.370956689119,15000071.407810240984,15000071.739493409172,1585301.1417271257378,2455563.4193365913816,0.0016568821714279663698,0.010337296639532514778,615.30006563999745595,615.30059758631921341,956797754.88250374794,237544060.5956762135,-2.4307368487598134138e-05,-2.7685477358200890501e-05,9,9,2,0,0
0,0,550,0.00017169473997411869551,0.89999968535277030668,164277.04745073328377,4531.6530000527909579,0.10362513757301408668,0.0018454645279406111519,3.1829880729479855005e-06,6.5539154918690827714e-08,0.10000031464722969332,0.00019077199999999999562,603.54287841686107186,96.736351312345078668,0,1610154.259610356763,2610622.1480331360362,0.048962349359916598757,0.016985659999999999648,956797205.75887417793,237542130.99286216497,0.018538646398997372239,0.0034354595382028998637,14999930.781529951841,14999930.729682810605,14999930.263060184196,1585301.1276823049411,2455562.2345717735589,0.0016568831076643241243,0.010337375623886946654,615.29993633910885364,615.29941909264891819,956797205.75887441635,237542130.99286222458,3.0716370057460798274e-05,3.5513635687068560026e-05,10,10,2.25,0,0
