"kappa_max_liq_aux","kappa_liq_aux","mu_liq_aux","kappa_max_vap_aux","kappa_vap_aux","mu_vap_aux","beta_max_aux","beta_aux","pI_aux","vI_aux","TI_aux","gx","jump_alpha","jump_pressure_liquid","jump_pressure_vapor","jump_rho_liquid","jump_rho_vapor","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
80.255256090448625628,1.5976226676363587622e-11,1.5976226676363587622e-11,54.691684567579464726,9.969520068485350947e-11,9.969520068485350947e-11,4.2945331509134975582e-08,4.2945331509134975582e-08,0.83688277823400769595,0,615.29943736865266146,0,3.1337538626274863418e-06,35.321420520544052124,35.32109089195728302,0.00022077573339629452676,0.0003531304801072110422,0,1,1,3
80.255256127577411007,2.7716144850970145383e-11,2.7716144850970145383e-11,54.691684601001902877,1.7295490573931070458e-10,1.7295490573931070458e-10,7.4405223787828995577e-08,7.4405223787828995577e-08,0.83688278015665940046,0,615.29943735830670448,0,3.1401626583438257967e-06,35.367902293801307678,35.367574229836463928,0.00022130426668809377588,0.00035360169835030319518,0,2,2,3
80.255256165913124278,4.6382272643604825098e-11,4.6382272643604825098e-11,54.691684646755433619,2.8943569885847447955e-10,2.8943569885847447955e-10,1.2408066795339322756e-07,1.2408066795339322756e-07,0.83688277630935914431,0,615.29943737898270228,0,3.157251569962937765e-06,35.491782054305076599,35.491455994546413422,0.00022271370107773691416,0.00035485753289776766906,0,3,3,3
80.255256232712284259,6.5331484633975519194e-11,6.5331484633975519194e-11,54.691684702414832486,4.076830341505454382e-10,4.076830341505454382e-10,1.7386391096901182478e-07,1.7386391096901182478e-07,0.83688278207736355174,0,615.29943734800372113,0,3.1828778874753993477e-06,35.677382856607437134,35.677056826651096344,0.00022482820031655137427,0.00035673905841804298689,0,4,4,3
80.255256259934583341,8.4676906357539368016e-11,8.4676906357539368016e-11,54.691684744525836948,5.2840278220697208805e-10,5.2840278220697208805e-10,2.2379735858618118751e-07,2.2379735858618118751e-07,0.83688277438999736368,0,615.29943738923782348,0,3.2170383943430636009e-06,35.924433715641498566,35.924106843769550323,0.00022764837467548204586,0.00035924359656291926512,0,5,5,3
80.255256338473913047,1.0453141823811187928e-10,1.0453141823811187928e-10,54.691684804408936316,6.5229940778705598009e-10,6.5229940778705598009e-10,2.7392240843887334676e-07,2.7392240843887334676e-07,0.83688278399945814634,0,615.29943733780748971,0,3.2597338588402635651e-06,36.232573911547660828,36.23224572092294693,0.00023117454566090600565,0.00036236756625385169173,0,6,6,3
80.25525635470052066,1.2500793229509842675e-10,1.2500793229509842675e-10,54.691684843086555645,7.8007740922392550106e-10,7.8007740922392550106e-10,3.242801138757723804e-07,3.242801138757723804e-07,0.83688277247223830102,0,615.29943739935879421,0,3.310955488000644209e-06,36.601354651153087616,36.601023055613040924,0.00023540714346381719224,0.00036610648646728805033,0,7,7,3
80.255256445205205296,1.4621894470999388151e-10,1.4621894470999388151e-10,54.691684907302757779,9.1243887052823395778e-10,9.1243887052823395778e-10,3.7491001525495068506e-07,3.7491001525495068506e-07,0.83688278591380260707,0,615.29943732777724108,0,3.3706910218533892021e-06,37.030238412320613861,37.02990259975194931,0.00024034706802922300994,0.00037045500755539251259,0,8,8,3
80.255256450504987242,1.6827666133285299784e-10,1.6827666133285299784e-10,54.691684942769626332,1.0500839776133884121e-09,1.0500839776133884121e-09,4.2585052699443660575e-07,4.2585052699443660575e-07,0.83688277055975357488,0,615.299437409286611,0,3.4389312868476906715e-06,37.518598072230815887,37.518259719014167786,0.00024599523385404609144,0.00037540690044579605456,0,9,9,3
80.255256553227170002,1.9129274118480338524e-10,1.9129274118480338524e-10,54.691685011397325411,1.1937095051768367121e-09,1.1937095051768367121e-09,4.7713849082502663231e-07,4.7713849082502663231e-07,0.8368827878230734596,0,615.29943731797231976,0,3.5156659126123201986e-06,38.06571071594953537,38.065368354320526123,0.0002523523708077846095,0.00038095494653589412337,0,10,10,3
