"kappa_max_liq_aux","kappa_liq_aux","mu_liq_aux","kappa_max_vap_aux","kappa_vap_aux","mu_vap_aux","beta_max_aux","beta_aux","pI_aux","vI_aux","TI_aux","gx","jump_alpha","jump_pressure_liquid","jump_pressure_vapor","jump_rho_liquid","jump_rho_vapor","ObjectId","GlobalElementId","PedigreeElementId","Cell Type"
160.51051385253936132,6.3529580242665440605e-09,6.3529580242665440605e-09,109.38337072943905071,3.9643871327582623234e-08,3.9643871327582623234e-08,1.6481351168011278427e-06,1.6481351168011278427e-06,0.83688279561490097613,0,615.2994372847200566,0,1.7622182955090437417e-05,183.44559898227453232,183.44400936365127563,0.0012869334946117305662,0.0018376042755221533298,0,1,1,3
160.51051463518643914,1.1054812515699319105e-08,1.1054812515699319105e-08,109.38337181330206249,6.8984490242939208576e-08,6.8984490242939208576e-08,2.8565653597533681646e-06,2.8565653597533681646e-06,0.8368827280169628402,0,615.29943761016625103,0,1.7735132141316611865e-05,184.17528032884001732,184.17368916794657707,0.0012965179191724018892,0.0018450211000811123085,0,2,2,3
160.51051739771560278,1.8643585194460521832e-08,1.8643585194460521832e-08,109.38337397228113446,1.1634021200821777759e-07,1.1634021200821777759e-07,4.7672945921110451156e-06,4.7672945921110451156e-06,0.83688286306096992817,0,615.29943696169175382,0,1.8036061560477989474e-05,186.11509472504258156,186.11349838227033615,0.0013220661971899971832,0.0018647390820660803001,0,3,3,3
160.51051803954646857,2.6558724468249379906e-08,2.6558724468249379906e-08,109.38337552215347159,1.6573241231012089436e-07,1.6573241231012089436e-07,6.6873478771886692224e-06,6.6873478771886692224e-06,0.83688266087948881555,0,615.29943792840128935,0,1.8486640244175234216e-05,189.00680059194564819,189.00519393011927605,0.0013603572990632528672,0.0018941352691115298512,0,4,4,3
160.5105216774986161,3.4926930433559779546e-08,3.4926930433559779546e-08,109.38337794436432659,2.1795200157024594836e-07,2.1795200157024594836e-07,8.6201065147580008654e-06,8.6201065147580008654e-06,0.83688292972151301363,0,615.29943665069458802,0,1.9085862851042634247e-05,192.82881751284003258,192.82719624042510986,0.0014113511551840929314,0.001932993083812561963,0,5,5,3
160.51052149326432072,4.38705959578577218e-08,4.38705959578577218e-08,109.38337928756982365,2.7376245261547932387e-07,2.7376245261547932387e-07,1.0568546028514064515e-05,1.0568546028514064515e-05,0.83688259486611271676,0,615.29943822985342194,0,1.9832349954507222378e-05,197.55245248600840569,197.55081502348184586,0.001474990074711968191,0.0019810244901066198508,0,6,6,3
160.51052602047877826,5.3506617659024956061e-08,5.3506617659024956061e-08,109.38338197084404158,3.3389355210596583481e-07,3.3389355210596583481e-07,1.2535220660222559438e-05,1.2535220660222559438e-05,0.83688299489230311146,0,615.29943636122345652,0,2.07243159797698695e-05,203.14197222515940666,203.14031708240509033,0.0015511951326061534928,0.002037870632136673521,0,7,7,3
160.51052501894133684,6.3944355322718240052e-08,6.3944355322718240052e-08,109.38338313494517706,3.9902737591298335672e-07,3.9902737591298335672e-07,1.452208410888134943e-05,1.452208410888134943e-05,0.8368825307364458066,0,615.29943850512074732,0,2.1759530459242171219e-05,209.55469707027077675,209.55302253365516663,0.0016398619270603376208,0.0021031026994364765415,0,8,8,3
160.5105304431067168,7.5284075081065217174e-08,7.5284075081065217174e-08,109.38338606614200899,4.6979001441452238448e-07,4.6979001441452238448e-07,1.6530497588094923272e-05,1.6530497588094923272e-05,0.83688305774640547874,0,615.29943610255259046,0,2.29352754790301816e-05,216.74113376066088676,216.73943949118256569,0.0017408555459041963331,0.0021762231792479269643,0,9,9,3
160.51052863195150167,8.7614394215961405644e-08,8.7614394215961405644e-08,109.38338708075798422,5.4673401163514555532e-07,5.4673401163514555532e-07,1.8561050898104569201e-05,1.8561050898104569201e-05,0.83688246939052191031,0,615.29943874510786372,0,2.424829631086922177e-05,224.64514342322945595,224.64342953637242317,0.001854005067571051768,0.00225666743409647097,0,10,10,3
