time,cfl,pressure_at_valve
0,1.95E-05,3.00E+06
1.00E-06,1.95E-05,3002709.949
2.05E-05,1.95E-05,3054890.276
3.99E-05,1.95E-05,3105510.431
5.94E-05,1.95E-05,3153171.184
7.89E-05,1.95E-05,3196775.024
9.84E-05,1.95E-05,3235351.787
0.000117823,1.95E-05,3268922.513
0.000137288,1.95E-05,3298075.271
0.000156753,1.95E-05,3323488.196
0.000176216,1.95E-05,3345588.001
0.000195678,1.95E-05,3364647.547
0.000215139,1.95E-05,3380949.129
0.000234599,1.95E-05,3394609.113
0.000254058,1.95E-05,3405703.676
0.000273517,1.95E-05,3414336.168
0.000292975,1.95E-05,3420587.934
0.000312433,1.95E-05,3424511.652
0.00033189,1.95E-05,3426138.524
0.000351347,1.95E-05,3425489.353
0.000370804,1.95E-05,3422614.905
0.000390261,1.95E-05,3417389.932
0.000409719,1.95E-05,3409819.909
0.000429176,1.95E-05,3400119.499
0.000448633,1.95E-05,3388645.223
0.000468091,1.95E-05,3375734.749
0.000487548,1.95E-05,3361666.268
0.000507007,1.95E-05,3346855.455
0.000526465,1.95E-05,3331786.076
0.000545925,1.95E-05,3316938.315
0.000565384,1.95E-05,3302734.358
0.000584844,1.95E-05,3289507.692
0.000604303,1.95E-05,3277496.902
0.000623762,1.95E-05,3266858.503
0.000643221,1.95E-05,3257687.565
0.000662681,1.95E-05,3250038.718
0.00068214,1.95E-05,3243962.136
0.000701599,1.95E-05,3239493.378
0.000721058,1.95E-05,3236629.417
0.000740517,1.95E-05,3235340.805
0.000759976,1.95E-05,3235562.263
0.000779436,1.95E-05,3237317.329
0.000798895,1.95E-05,3240561.423
0.000818354,1.95E-05,3245152.839
0.000837814,1.95E-05,3250905.996
0.000857273,1.95E-05,3257618.42
0.000876733,1.95E-05,3265079.25
0.000896192,1.95E-05,3273087.141
0.000915652,1.95E-05,3281450.116
0.000935112,1.95E-05,3289983.856
0.000954572,1.95E-05,3298501.423
0.000974032,1.95E-05,3306786.062
0.000993492,1.95E-05,3314624.609
0.001012952,1.95E-05,3321823.245
0.001032411,1.95E-05,3328218.469
0.00105187,1.95E-05,3333680.983
0.00107133,1.95E-05,3338116.523
0.001090789,1.95E-05,3341461.582
0.001110249,1.95E-05,3343685.256
0.001129708,1.95E-05,3344787.274
0.001149168,1.95E-05,3344785.365
0.001168628,1.95E-05,3343694.684
0.001188087,1.95E-05,3341581.348
0.001207547,1.95E-05,3338547.165
0.001227007,1.95E-05,3334715.771
0.001246467,1.95E-05,3330226.691
0.001265926,1.95E-05,3325229.74
0.001285386,1.95E-05,3319878.135
0.001304846,1.95E-05,3314324.671
0.001324306,1.95E-05,3308722.095
0.001343765,1.95E-05,3303220.617
0.001363225,1.95E-05,3297970.994
0.001382685,1.95E-05,3293115.635
0.001402145,1.95E-05,3288781.841
0.001421605,1.95E-05,3285077.227
0.001441064,1.95E-05,3282086.503
0.001460524,1.95E-05,3279870.948
0.001479984,1.95E-05,3278467.99
0.001499444,1.95E-05,3277887.708
0.001518904,1.95E-05,3278123.01
0.001538363,1.95E-05,3279148.338
0.001557823,1.95E-05,3280910.48
0.001577283,1.95E-05,3283334.889
0.001596744,1.95E-05,3286332.043
0.001616204,1.95E-05,3289800.768
0.001635664,1.95E-05,3293630.196
0.001655124,1.95E-05,3297699.517
0.001674583,1.95E-05,3301881.885
0.001694043,1.95E-05,3306050.499
0.001713503,1.95E-05,3310082.021
0.001732963,1.95E-05,3313859.758
0.001752422,1.95E-05,3317276.585
0.001771882,1.95E-05,3320239.168
0.001791342,1.95E-05,3322669.667
0.001810802,1.95E-05,3324506.685
0.001830262,1.95E-05,3325706.381
0.001849722,1.95E-05,3326244.95
0.001869182,1.95E-05,3326117.215
0.001888642,1.95E-05,3325330.132
0.001908102,1.95E-05,3323914.959
0.001927562,1.95E-05,3321922.236
0.001947022,1.95E-05,3319418.449
0.001966482,1.95E-05,3316483.518
0.001985942,1.95E-05,3313206.567
0.002005402,1.95E-05,3309683.441
0.002024862,1.95E-05,3306014.391
0.002044322,1.95E-05,3302304.378
0.002063782,1.95E-05,3298659.482
0.002083242,1.95E-05,3295182.987
0.002102702,1.95E-05,3291971.841
0.002122162,1.95E-05,3289113.085
0.002141622,1.95E-05,3286681.47
0.002161082,1.95E-05,3284737.761
0.002180542,1.95E-05,3283327.77
0.002200002,1.95E-05,3282481.657
0.002219462,1.95E-05,3282212.712
0.002238922,1.95E-05,3282521.203
0.002258382,1.95E-05,3283390.699
0.002277842,1.95E-05,3284786.382
0.002297302,1.95E-05,3286657.78
0.002316762,1.95E-05,3288941.345
0.002336222,1.95E-05,3291563.437
0.002355682,1.95E-05,3294442.657
0.002375142,1.95E-05,3297492.229
0.002394602,1.95E-05,3300622.559
0.002414062,1.95E-05,3303743.299
0.002433522,1.95E-05,3306763.901
0.002452983,1.95E-05,3309596.792
0.002472443,1.95E-05,3312161.093
0.002491903,1.95E-05,3314385.183
0.002511363,1.95E-05,3316208.701
0.002530823,1.95E-05,3317583.908
0.002550283,1.95E-05,3318476.608
0.002569743,1.95E-05,3318867.533
0.002589203,1.95E-05,3318752.131
0.002608663,1.95E-05,3318139.385
0.002628123,1.95E-05,3317053.495
0.002647584,1.95E-05,3315532.591
0.002667044,1.95E-05,3313627.5
0.002686504,1.95E-05,3311399.022
0.002705964,1.95E-05,3308915.985
0.002725424,1.95E-05,3306253.213
0.002744884,1.95E-05,3303490.28
0.002764344,1.95E-05,3300709.739
0.002783804,1.95E-05,3297993.899
0.002803264,1.95E-05,3295422.366
0.002822725,1.95E-05,3293069.802
0.002842185,1.95E-05,3291003.313
0.002861645,1.95E-05,3289280.672
0.002881105,1.95E-05,3287948.935
