time,cfl,pressure_at_valve
0,7.79E-05,3.00E+06
1.00E-06,7.79E-05,3001363.964
7.89E-05,7.79E-05,3104600.25
0.000156776,7.79E-05,3198184.599
0.000234659,7.79E-05,3275144.974
0.000312528,7.79E-05,3333909.302
0.000390384,7.78E-05,3377981.314
0.00046823,7.78E-05,3409692.444
0.000546069,7.78E-05,3430792.994
0.000623901,7.78E-05,3442013.488
0.00070173,7.78E-05,3443983.919
0.000779556,7.78E-05,3436643.888
0.000857381,7.78E-05,3419785.292
0.000935207,7.78E-05,3395827.923
0.001013034,7.78E-05,3367273.067
0.001090864,7.78E-05,3336420.558
0.001168698,7.78E-05,3306388.19
0.001246535,7.78E-05,3279919.066
0.001324371,7.78E-05,3258758.385
0.001402207,7.78E-05,3243894.789
0.001480043,7.78E-05,3235608.323
0.001557878,7.78E-05,3233596.551
0.001635714,7.78E-05,3237706.503
0.001713551,7.78E-05,3247099.45
0.001791387,7.78E-05,3260354.557
0.001869224,7.78E-05,3275960.361
0.001947062,7.78E-05,3292479.637
0.002024901,7.78E-05,3308459.208
0.002102739,7.78E-05,3322443.89
0.002180575,7.78E-05,3333289.331
0.002258412,7.78E-05,3340251.865
0.002336249,7.78E-05,3343065.179
0.002414086,7.78E-05,3341769.307
0.002491924,7.78E-05,3336821.681
0.002569762,7.78E-05,3329037.397
0.0026476,7.78E-05,3319429.507
0.002725438,7.78E-05,3309068.713
0.002803276,7.78E-05,3299028.18
0.002881114,7.78E-05,3290319.608
0.002958952,7.78E-05,3283759.061
0.00303679,7.78E-05,3279889.676
0.003114627,7.78E-05,3278918.686
0.003192466,7.78E-05,3280774.702
0.003270305,7.78E-05,3285070.829
0.003348144,7.78E-05,3291198.354
0.003425982,7.78E-05,3298402.432
0.00350382,7.78E-05,3305843.657
0.003581658,7.78E-05,3312696.544
0.003659496,7.78E-05,3318237.861
0.003737335,7.78E-05,3321921.949
0.003815174,7.78E-05,3323429.126
0.003893012,7.78E-05,3322676.114
0.003970851,7.78E-05,3319824.072
0.00404869,7.78E-05,3315263.452
0.004126528,7.78E-05,3309544.348
0.004204368,7.78E-05,3303308.332
0.004282206,7.78E-05,3297237.4
0.004360045,7.78E-05,3291975.4
0.004437883,7.78E-05,3288052.929
0.004515722,7.78E-05,3285835.775
0.004593562,7.78E-05,3285492.421
0.004671401,7.78E-05,3286996.903
0.004749239,7.78E-05,3290113.456
0.004827078,7.78E-05,3294439.703
0.004904917,7.78E-05,3299463.043
0.004982756,7.78E-05,3304619.259
0.005060596,7.78E-05,3309342.612
0.005138434,7.78E-05,3313129.325
0.005216273,7.78E-05,3315593.685
0.005294113,7.78E-05,3316506.62
0.005371952,7.78E-05,3315814.15
0.005449792,7.78E-05,3313639.967
0.005527631,7.78E-05,3310269.507
0.00560547,7.78E-05,3306106.497
0.005683309,7.78E-05,3301627.067
0.005761148,7.78E-05,3297333.9
0.005838988,7.78E-05,3293697.555
0.005916827,7.78E-05,3291103.906
0.005994666,7.78E-05,3289816.156
0.006072506,7.78E-05,3289950.264
0.006150345,7.78E-05,3291466.363
0.006228184,7.78E-05,3294170.52
0.006306024,7.78E-05,3297744.793
0.006383864,7.78E-05,3301787.926
0.006461703,7.78E-05,3305858.271
0.006539542,7.78E-05,3309516.751
0.006617382,7.78E-05,3312378.543
0.006695222,7.78E-05,3314154.476
0.006773061,7.78E-05,3314679.569
0.006850901,7.78E-05,3313924.715
0.00692874,7.78E-05,3312003.24
0.00700658,7.78E-05,3309153.672
0.00708442,7.78E-05,3305707.307
0.00716226,7.78E-05,3302049.831
0.007240099,7.78E-05,3298582.097
0.007317939,7.78E-05,3295677.467
0.007395778,7.78E-05,3293639.17
0.007473618,7.78E-05,3292669.385
0.007551458,7.78E-05,3292849.577
0.007629298,7.78E-05,3294134.659
0.007707137,7.78E-05,3296357.788
0.007784977,7.78E-05,3299254.396
0.007862817,7.78E-05,3302494.313
0.007940657,7.78E-05,3305716.896
0.008018497,7.78E-05,3308568.854
0.008096336,7.78E-05,3310745.026
0.008174176,7.78E-05,3312020.709
0.008252016,7.78E-05,3312274.261
0.008329856,7.78E-05,3311496.461
0.008407696,7.78E-05,3309793.526
0.008485536,7.78E-05,3307371.146
0.008563376,7.78E-05,3304508.116
0.008641216,7.78E-05,3301524.435
0.008719056,7.78E-05,3298749.114
0.008796896,7.78E-05,3296482.864
0.008874736,7.78E-05,3294964.544
0.008952576,7.78E-05,3294346.847
0.009030416,7.78E-05,3294681.665
0.009108256,7.78E-05,3295915.297
0.009186096,7.78E-05,3297895.357
0.009263936,7.78E-05,3300391.298
0.009341776,7.78E-05,3303121.913
0.009419616,7.78E-05,3305785.165
0.009497457,7.78E-05,3308090.295
0.009575297,7.78E-05,3309791.236
0.009653137,7.78E-05,3310712.722
0.009730977,7.78E-05,3310767.645
0.009808817,7.78E-05,3309964.782
0.009886657,7.78E-05,3308408.499
0.009964498,7.78E-05,3306283.98
0.010042338,7.78E-05,3303834.49
0.010120178,7.78E-05,3301333.7
0.010198018,7.78E-05,3299057.585
0.010275859,7.78E-05,3297253.406
0.010353699,7.78E-05,3296112.238
0.01043154,7.78E-05,3295749.247
0.01050938,7.78E-05,3296192.802
0.01058722,7.78E-05,3297381.205
0.01066506,7.78E-05,3299171.492
0.010742901,7.78E-05,3301357.461
0.010820741,7.78E-05,3303693.635
0.010898582,7.78E-05,3305920.916
0.010976422,7.78E-05,3307795.343
0.011054262,7.78E-05,3309115.561
0.011132103,7.78E-05,3309744.007
0.011209943,7.78E-05,3309620.499
0.011287784,7.78E-05,3308768.243
0.011365624,7.78E-05,3307291.031
0.011443465,7.78E-05,3305359.322
0.011521305,7.78E-05,3303189.908
0.011599146,7.78E-05,3301021.842
0.011676987,7.78E-05,3299091.714
0.011754827,7.78E-05,3297606.644
0.011832667,7.78E-05,3296721.633
0.011910508,7.78E-05,3296523.736
0.011988349,7.78E-05,3297024.105
0.012066189,7.78E-05,3298156.082
0.01214403,7.78E-05,3299784.636
0.01222187,7.78E-05,3301722.903
0.012299711,7.78E-05,3303753.681
0.012377552,7.78E-05,3305652.319
0.012455393,7.78E-05,3307211.405
0.012533233,7.78E-05,3308264.03
0.012611074,7.78E-05,3308701.357
0.012688915,7.78E-05,3308483.517
0.012766755,7.78E-05,3307643.611
0.012844596,7.78E-05,3306283.199
0.012922437,7.78E-05,3304559.369
0.013000278,7.78E-05,3302666.3
0.013078118,7.78E-05,3300814.18
0.013155959,7.78E-05,3299206.667
0.0132338,7.78E-05,3298017.77
0.013311641,7.78E-05,3297373.068
0.013389482,7.78E-05,3297337.004
0.013467323,7.78E-05,3297906.552
0.013545164,7.78E-05,3299011.389
0.013623005,7.78E-05,3300523.394
0.013700846,7.78E-05,3302272.011
0.013778686,7.78E-05,3304063.579
0.013856527,7.78E-05,3305701.432
0.013934368,7.78E-05,3307008.033
0.014012209,7.78E-05,3307844.664
0.014090051,7.78E-05,3308125.912
0.014167891,7.78E-05,3307827.887
0.014245732,7.78E-05,3306991.179
0.014323573,7.78E-05,3305715.159
0.014401414,7.78E-05,3304145.686
0.014479256,7.78E-05,3302458.195
0.014557097,7.78E-05,3300838.821
0.014634938,7.78E-05,3299464.376
0.014712779,7.78E-05,3298482.367
0.01479062,7.78E-05,3297995.184
0.014868461,7.78E-05,3298049.808
0.014946302,7.78E-05,3298633.077
0.015024144,7.78E-05,3299673.405
0.015101985,7.78E-05,3301050.097
0.015179826,7.78E-05,3302607.637
0.015257667,7.78E-05,3304173.103
0.015335509,7.78E-05,3305574.225
0.01541335,7.78E-05,3306658.912
0.015491191,7.78E-05,3307311.983
0.015569032,7.78E-05,3307467.112
0.015646874,7.78E-05,3307113.157
0.015724715,7.78E-05,3306295.771
0.015802556,7.78E-05,3305111.034
0.015880398,7.78E-05,3303693.772
0.015958239,7.78E-05,3302202.099
0.01603608,7.78E-05,3300800.711
0.016113922,7.78E-05,3299642.653
0.016191763,7.78E-05,3298852.169
0.016269605,7.78E-05,3298511.516
0.016347446,7.78E-05,3298652.779
0.016425288,7.78E-05,3299254.42
0.016503129,7.78E-05,3300244.163
0.016580971,7.78E-05,3301508.16
0.016658812,7.78E-05,3302904.344
0.016736654,7.78E-05,3304278.136
0.016814495,7.78E-05,3305478.674
0.016892337,7.78E-05,3306375.993
0.016970179,7.78E-05,3306875.232
0.01704802,7.78E-05,3306926.348
0.017125862,7.78E-05,3306529.105
0.017203703,7.78E-05,3305733.167
0.017281545,7.78E-05,3304631.484
0.017359387,7.78E-05,3303349.135
0.017437229,7.78E-05,3302029.119
0.01751507,7.78E-05,3300817.388
0.017592912,7.78E-05,3299846.469
0.017670754,7.78E-05,3299220.706
0.017748595,7.78E-05,3299005.257
0.017826437,7.78E-05,3299219.689
0.017904279,7.78E-05,3299835.539
0.017982121,7.78E-05,3300780.289
0.018059962,7.78E-05,3301946.319
0.018137804,7.78E-05,3303203.374
0.018215646,7.78E-05,3304412.614
0.018293488,7.78E-05,3305441.493
0.01837133,7.78E-05,3306178.83
0.018449172,7.78E-05,3306546.823
0.018527014,7.78E-05,3306508.864
0.018604856,7.78E-05,3306073.437
0.018682698,7.78E-05,3305293.025
0.01876054,7.78E-05,3304257.307
0.018838382,7.78E-05,3303082.496
0.018916224,7.78E-05,3301898.308
0.018994066,7.78E-05,3300834.6
0.019071908,7.78E-05,3300006.579
0.01914975,7.78E-05,3299502.068
0.019227592,7.78E-05,3299372.355
0.019305434,7.78E-05,3299627.311
0.019383276,7.78E-05,3300233.856
0.019461118,7.78E-05,3301120.569
0.01953896,7.78E-05,3302186.41
0.019616802,7.78E-05,3303312.365
0.019694644,7.78E-05,3304374.093
0.019772486,7.78E-05,3305255.384
0.019850329,7.78E-05,3305861.327
0.019928171,7.78E-05,3306128.475
0.020006013,7.78E-05,3306031.21
0.020083855,7.78E-05,3305584.568
0.020161698,7.78E-05,3304842.165
0.02023954,7.78E-05,3303889.376
0.020317382,7.78E-05,3302833.282
0.020395224,7.78E-05,3301790.917
0.020473067,7.78E-05,3300877.025
0.020550909,7.78E-05,3300190.895
0.020628751,7.78E-05,3299805.478
0.020706594,7.78E-05,3299759.969
0.020784436,7.78E-05,3300055.871
