time,cfl,pressure_at_valve
0,3.89E-05,3.00E+06
1.00E-06,3.89E-05,3001363.964
3.99E-05,3.89E-05,3053571.737
7.89E-05,3.89E-05,3104258.756
0.000117831,3.89E-05,3152013.782
0.000156772,3.89E-05,3195720.647
0.000195711,3.89E-05,3234406.249
0.000234646,3.89E-05,3268067.008
0.000273577,3.89E-05,3297285.742
0.000312506,3.89E-05,3322744.513
0.000351432,3.89E-05,3344898.281
0.000390356,3.89E-05,3364006.69
0.000429278,3.89E-05,3380349.321
0.000468198,3.89E-05,3394078.716
0.000507117,3.89E-05,3405254.53
0.000546034,3.89E-05,3413978.168
0.000584951,3.89E-05,3420333.057
0.000623866,3.89E-05,3424374.206
0.000662781,3.89E-05,3426134.574
0.000701695,3.89E-05,3425635.123
0.00074061,3.89E-05,3422922.953
0.000779524,3.89E-05,3417884.505
0.000818438,3.89E-05,3410496.756
0.000857352,3.89E-05,3400963.22
0.000896267,3.89E-05,3389633.049
0.000935182,3.89E-05,3376847.69
0.000974098,3.89E-05,3362885.478
0.001013014,3.89E-05,3348146.232
0.001051931,3.89E-05,3333113.622
0.00109085,3.89E-05,3318273.262
0.001129769,3.89E-05,3304054.982
0.001168687,3.89E-05,3290799.008
0.001207606,3.89E-05,3278747.818
0.001246525,3.89E-05,3268058.795
0.001285443,3.89E-05,3258825.581
0.001324362,3.89E-05,3251100.106
0.00136328,3.89E-05,3244925.828
0.001402198,3.89E-05,3240340.76
0.001441116,3.89E-05,3237342.12
0.001480035,3.89E-05,3235904.881
0.001518953,3.89E-05,3235961.648
0.001557872,3.89E-05,3237527.001
0.001596791,3.89E-05,3240576.666
0.00163571,3.89E-05,3244978.049
0.001674628,3.89E-05,3250549.792
0.001713547,3.89E-05,3257091.686
0.001752466,3.89E-05,3264395.305
0.001791386,3.89E-05,3272260.68
0.001830305,3.89E-05,3280498.368
0.001869225,3.89E-05,3288927.414
0.001908145,3.89E-05,3297369.042
0.001947065,3.89E-05,3305609.592
0.001985985,3.89E-05,3313436.355
0.002024904,3.89E-05,3320653.83
0.002063823,3.89E-05,3327096.037
0.002102742,3.89E-05,3332631.148
0.002141661,3.89E-05,3337161.815
0.00218058,3.89E-05,3340622.855
0.002219499,3.89E-05,3342979.633
0.002258419,3.89E-05,3344230.464
0.002297338,3.89E-05,3344390.639
0.002336257,3.89E-05,3343474.28
0.002375176,3.89E-05,3341537.211
0.002414096,3.89E-05,3338676.198
0.002453016,3.89E-05,3335010.692
0.002491935,3.89E-05,3330676.606
